PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|COUNTY|STATE|LD_TYPE|LOT_SIZE|ACRE|ROAD_TYPE|LAND_DESC|ZONE_USAGE|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|ELECTRIC_FEATURE|SHORT_SALE_LENDER_APP_REQD
"LD"|72731576|"E00000DM"|"AN5910"|"ACT"|106000|"0"|"Shore Dr"||502||"01072"|"N"|"Looking for private access to the lake. Check out this parcel of land and see what the possibilities can be."|6|9/23/2020 9:55:00 PM|0|"N"||"Franklin"|"MA"|"A"|7811|0.18|"B"|"D"|"D"|"Y"|"H,I,L"||||"C"|"N"
"LD"|72759935|"CT000674"|"AC0216"|"ACT"|1|"0"|"Route 1"||31||"02081"|"N"|"FOR LEASE: ±1.09 Acres  Price Negotiable  ±1.09 Acre Retail Pad Site  • Across from Walmart and the Walpole Mall  • Immediately Off Interstate 95 and with Quick Ac-cess to Rtes. 128, 495, 95, Boston and Providence  • Median Income within 5 Mile Radius: $103,399  • Great Location for a QSR, Urgent Care, Auto Parts or other Name Brand Operators  • High Traffic Count, High Visibility, Prime Location— Join other Name Brands like Walmart today!"|1|11/20/2020 5:16:00 PM|0|"N"||"Norfolk"|"MA"|"C"|47480|1.09||"D"|"G"|"N"|||||"B"|"N"
"LD"|72780140|"E8000133"|"AN5912"|"ACT"|50000|"001"|"Adams Road"||511||"01301"|"N"|"Triangle of land between the original location of Adams Rd entrance off Route 2 and the current road location. Zoned ""Planned Industrial District"" on the southern edge of the I-91 Industrial Park. Level, wooded, stream, 1.57 acres."|1|1/28/2021 8:31:00 PM|0|"N"||"Franklin"|"MA"|"C"|68402|1.57||"D,G,I"|"G,J"|"N"||"N"|||"B"|"N"
"LD"|72791317|"NB113909"|"NB4697"|"ACT"|800000|"525"|"Parker St"||465||"01440"|"N"|"Unique 14.5 acre industrial site near Downtown Gardner, Approximately 7 acres are buildable and 7+ acres are part of Parker's Pond. Create your own recreational area, or a Industrial Development.  Lots of possibilities and only limited by your own imagination."|1|3/1/2021 3:14:00 PM|0|"N"||"Worcester"|"MA"|"C"|631507|14.5|"A,C,I,L"|"D"|"J"|"Y"|"E"|"Y"|"K"|"N"|"B"|"N"
"LD"|72794449|"NB113598"|"AN6187"|"ACT"|3500000|"450-456"|"Charles St"||2010||"02904"|"N"|"This is a great development opportunity located along Route 146 on 450-456 Charles St. in Providence. Over 2.8 acres of vacant land in the heart of Providence.The land is already cleared with great frontage and visibility. The site could be developed for a variety of uses mixed development, retail, residential, commercial and more."|2|3/7/2021 9:07:00 AM|0|"N"||"Providence"|"RI"|"A"|125452|2.88|"A"|"Q"|"G,I"|"N"||"N"|||"A"|"N"
"LD"|72805107|"K9502934"|"AN4212"|"ACT"|56000|"lot 3"|"West Rd"||417||"01531"|"N"|"Corner country lot in small town of New Braintree.  Close to routes 32, 67 and 122 for commuting purposes but country roads for when you arrive home.  Seller was going to build  their forever home here but life changes sent them in a different direction.  Septic design in hand may need to be reviewed and updated depending on the ""Board of Health.  You can use their proposed build site or maybe move further back and engineer could advise you on that.  Come view the possibilities here.  New Braintree is part of the Quabbin School District, see their website for info.  Lot is very unique shape see attached plan."|10|6/20/2023 10:09:00 AM|0|"N"||"Worcester"|"MA"|"A"|212459|4.88|"A,C,E"|"D,I,Q"|"A"|"N"||"N"|||"B"|"N"
"LD"|72812650|"CN223848"|"E31301"|"ACT"|174900|"1"|"Northfield Rd"||509||"01337"|"N"|"This 3.5 acre parcel is easily accessed from Interstate 91. Zoned industrial, this parcel could be the high visibility location you were looking for. Buyer to do due diligence on use and buildability. For many years, there had been a small barbershop located on the lot. Bordered on the west side by the Fall River. This lot could be just the location for your business or commercial needs with easy highway access!"|7|11/10/2021 8:19:00 AM|0|"N"||"Franklin"|"MA"|"C"|152460|3.5|"A,C"|"D,H"|"G,J"|"N"|||||"A,B"|"N"
"LD"|72816399|"NB113909"|"NB4697"|"ACT"|449000|"0"|"Hamlet Mill Road"||468|"34S"|"01468"|"N"|"Wooded two parcels ideal for sub-division  Three frontage spots, each with 50 feet. Totally natural and unspoiled."|3|4/27/2021 3:17:00 PM|0|"N"||"Worcester"|"MA"|"A"|1525300|35.02|"A,C,E"|"D,I"|"A,C"|"N"||"N"|||"B"|"N"
"LD"|72910158|"CN233064"|"AN2893"|"ACT"|600000|"491"|"Faunce Corner Rd."||157|"NDA"|"02747"|"N"|"10 acres of vacant land located at Faunce Corner Rd., zoned office/industrial, Looking for suitable tenants.  Office professionals, Light Manufacturing, Medical, etc.  Part of Paskamansett Professional Park.  Will build to suit or ground lease on all or part of vacant 10 acre parcel.  Price is for ground lease/$60,000 per acre, triple net."|1|10/19/2021 2:26:00 PM|0|"N"||"Bristol"|"MA"|"C"|435600|10|"B,C,F,H,I"|"D"|"G,J"|"N"||||"N"|"A,D"|"N"
"LD"|72920128|"TM309913"|"AN8613"|"ACT"|1200000|"191 Rear"|"Elm St."||345||"01952"|"N"|"Residential  Zoning allows many uses. Many Agricultural Uses to include raising, keeping Livestock and Horses and Poultry. Many Uses allowed with a special Permit to include Hospital, Nursing, Rest or Convalescent Home, Commercial Stables, Kennels, Vet Hospital, Year round Greenhouses, Campground, Waterfront Marine and Boat Building, Selling, Renting, Servicing, Repairing and Storage. Uses Permitted with Planning Board Approval On Site Wind Energy  This property approx. 28.4 acres consists of 3 Lots 9-42, 9-39, 9-41 on the town of Salisbury Maps. Multiple uses. Land has not been delineated, Development Potential. Possibility of Merrimac River and Historic Newburyport Views. see Permitted Uses on town of Salisbury Zoning Use codes. Buyers and Buyers Agents to do Due Diligence"|2|4/11/2024 9:23:00 AM|0|"N"||"Essex"|"MA"|"A"|1237104|28.4||"B,C,D,G,H,I"|"A,C,E"|"N"|||||"B,C"|"N"
"LD"|72923461|"K9502934"|"AN4212"|"ACT"|94900|"Lot 55"|"Wendell Rd"||503||"01355"|"N"|"Gently sloped wooded lot that abuts New Salem State Forest in the rear of the lot.  If you want a private space with a peaceful setting you should look at this lot. You are still close to civilization with its shopping, highway access and restaurants then check out this lot.  You could bring a friend or family member with the acreage and street frontage you could get multiple lots potentially.  Totally wooded lot that abuts New Salem State Forest on West St side, see plot plan.Quabbin Reservoir just down the road. Get away from it all here, call today for more information or a private viewing.Call now don't hesitate it may be gone tomorrow.  Passing perc test 8-9-24"|7|6/26/2024 9:48:00 AM|0|"N"||"Franklin"|"MA"|"A"|252648|5.8|"A,C,E"|"I,J,U"|"A"|"N"|||||"B"|"N"
"LD"|72924899|"H8000307"|"AN4997"|"ACT"|525000|"Lot 3"|"Prospect Hill Rd"||452|"HVD"|"01451"|"N"|"Exquisite Hilltop 3.2 acre house lot on scenic and renowned Prospect Hill with views to Mt Wachusett and New Hampshire mountains!  Approved 4 bedroom septic design, well, and driveway access to be installed by Buyer.  An extension to the rear of this lot gives private access for trails to Fruitland Museums, Fruitland trails, and on opposite side of road 100+- acres conservation land with trails for hiking, cross country skiing, horseback riding.  Enjoy radiant sunsets to the west, and summertime outdoor concerts at Fruitland, along with their craft shows, sledding, and several museums and small restaurant with extended patio for summer dining, and local events.  High ranked school system, beach at Bare Hill Pond with boat docking, islands to sail around, and beautiful town center for parades, and festivities on the commons.  What a great town to raise a family with a picturesque large town center."|5|4/2/2025 4:31:00 PM|0|"N"||"Worcester"|"MA"|"A"|139827|3.21|"A,C,E"|"D,F,H,I,Q,X"|"A,C"|"N"||"N"||"N"|"B"|"N"
"LD"|72941656|"E8000133"|"AN5912"|"ACT"|100000|"0, Lot 7"|"East Rd"||518||"01339"|"N"|"Check out this rare opportunity to be Trailside at Berkshire East Mountain resort. Build your on-mountain dream home and be part of the year-round resort action! This lot is wooded with a south facing slope."|1|2/10/2022 12:52:00 PM|0|"N"||"Franklin"|"MA"|"A"|130680|3||"H,I"|"A"|"N"||"N"|||"C"|"N"
"LD"|72946878|"CN204988"|"AN3342"|"ACT"|82000|"80"|"Broad Street Parking Space 57"||1|"106"|"02110"|"N"|"24/7 Valet INDOOR PARKING SPACE in a Private Heated Garage located on Broad Street across from the Waterfront & Rose Kennedy Greenway. Close proximity to Financial District & Downtown offices - perfect for a professional, commuter, local resident or investor. Excellent opportunity to purchase a highly coveted spot in a flourishing neighborhood. $265 Monthly HOA fee plus Real Estate Taxes. Inquire with list agent for more details."|5|2/28/2022 5:43:00 PM|0|"N"||"Suffolk"|"MA"|"E"|0|0||"O"|"D"|"N"|||||"F"|"N"
"LD"|72967909|"CN211448"|"AN4113"|"ACT"|219900|"0"|"Donald"||853||"01028"|"N"|"Parcel on the undeveloped section of Donald Avenue, potential for six 100' by 100' lots, parcel is 610' by 100'."|8|4/18/2022 10:37:00 PM|0|"N"||"Hampden"|"MA"|"A"|60885|1.4|"J"|"D,I"|"A"|"N"||"N"||"U"|"C"|"N"
"LD"|72995257|"BB903278"|"BB4624"|"ACT"|120000|"218"|"Old Center Street"||180||"02346"|"N"|"Welcome to the beautiful town of Middleboro.   Second largest in the State.   North Middleboro 5 mins to major highways, shopping and transportation down town Bridgewater or Middleboro.  Buyers responsibility for percs and permits.  This property was subdivided, however the owner never did the perc tests.  Buyer responsible for percs and engineering for single family home.        Short 4 minute hop to rotary and 495.   Bridgewater and Middleboro train stations are 10-15 mins away.  Great location."|7|12/30/2023 11:29:00 AM|0|"N"||"Plymouth"|"MA"|"A"|61855|1.42|"A"|"I"|"A"|"N"||"N"|||"B"|"N"
"LD"|73021596|"M8000522"|"AN7279"|"ACT"|50000|"0"|"Brookfield Road"||869||"01010"|"N"|"Good road frontage of 735 ft. and near Lake Sherman! A total of 14+ acres, with 3-4 acres that APO are not wetlands & are good to build upon.They are located between pole markers # 77 and # 76. This Parcel is known as  3 C 7 or 0 Brookfield Road & located between houses #190 and #222. There is a stone marker to mark the property line. See attached photos."|6|7/25/2024 3:56:00 PM|0|"N"||"Hampden"|"MA"|"A"|633798|14.55|"A,C"|"G,I"|"A"|"N"||"N"||"N"|"B"|"N"
"LD"|73024374|"BB902021"|"AN3344"|"EXT"|150000|"152"|"ForgeRiver"||171||"02767"|"N"|"road needs to be extended,   51,610  sf total dry 31,800sf    site work needed to develop preliminary plan for 4,000 sf building"|2|8/11/2022 1:13:00 PM|0|"N"||"Bristol"|"MA"|"C"|51610|1.18|"A"|"D"|"H"|"N"||"N"||"N"|"B"|"N"
"LD"|73026744|"C8000793"|"AC0342"|"ACT"|1550000|"2"|"Collins Street"||345|"SPL"|"01952"|"N"|"Developable land at intersection of Route 1 and 286.  Located at four-way signaled intersection with traffic counts of 12,455.  Several possibilities for allowable uses. Land is partially cleared.  Level lot at frontage areas with sloping areas towards rear of property. 3.7 miles to beach. Convenient to Interstate 95 and 495. Potential for multi-family, hotel and or retail applications."|1|8/18/2022 12:14:00 AM|0|"N"||"Essex"|"MA"|"C"|134165|3.08|"A,C,E,M"|"G,H,I,J,Q,V"|"B,C,G,K"|"N"||"N"|||"C"|"N"
"LD"|73046189|"M0000692"|"AN4940"|"ACT"|36000|"lot 2"|"Skyline Trail"||537||"01243"|"N"|"Great homesite with 3.8 acres.  On the corner of Lynes road, which is closed,"|2|10/10/2022 9:15:00 AM|0|"N"||"Hampshire"|"MA"|"A"|165963|3.81|"A"|"D"|"A"|"N"||"N"|||"B"|"N"
"LD"|73050327|"K9500526"|"AN2432"|"ACT"|375000|"24"|"Road AHR"||436||"01569"|"N"|"23 +/- Acres of residential zoned developable land located off of South Main St (RT 122). The land is in an Age Restricted Overlay District that allows for construction of townhouse style, duplex and triplex housing for persons age 55+. Great development opportunity! Town water and sewer, along with electricity is available at the street. Attached concept plan shows how 40 units could be laid out on the site. Land is mostly high and dry with some wetlands. No recent site engineering has been done. Buyers to perform their own due diligence."|2|10/20/2022 10:40:00 AM|0|"N"||"Worcester"|"MA"|"A"|1001880|23||"O"|"A"|"N"|||||"B"|"N"
"LD"|73051968|"G8002111"|"NB5052"|"ACT"|1200000|"1513"|"Broadway"||352||"01832"|"N"|"ATTENTION Builders and Developers; Fantastic opportunity for just over 20 acres of land consisting of multiple adjoining lots Haverhill and Methuen. Property currently has two houses and several outbuildings with an access road throughout the property. One of the properties used to be a small farm.  More info available."|9|10/26/2022 7:24:00 AM|0|"N"||"Essex"|"MA"|"A"|885139|20.32||"I"|"A,D"|"N"|||||"A"|"N"
"LD"|73053874|"M9502211"|"NB4816"|"ACT"|349900|"0"|"Coyote Glen"||863||"01077"|"N"|"Land for sale at the end of a cul-de-sac in a wonderful subdivision of Southwick. This 10.8-acre lot is conveniently located close to area amenities such as walk/jog trails, restaurants, public schools and is just minutes away from Congamond Lakes. Electric, gas, and public water are on-street. Do not miss the opportunity to buy this lot before it is too late."|3|11/1/2022 10:26:00 AM|0|"N"||"Hampden"|"MA"|"A"|470448|10.8|"C,G"|"I,O"|"A"|"N"|||||"A"|"N"
"LD"|73057813|"H8000307"|"AN4997"|"ACT"|585000|"Lot 5"|"Prospect Hill Rd"||452|"HVD"|"01451"|"N"|"Phenomenal views of the western mountains and glorious sunsets from this 10.99 acre hillside setting off one of our most scenic roads to enjoy beautiful walks and living at its best!  The views are your choice with clearing for home, septic system, and grounds to Mt Wachusett and Northwest mountains – amidst an estate area and setting for your home, acreage for animals, orchards, gardening, barn,  or garages for antique autos, boats, workshop, make a sledding trail, or just enjoy the privacy – so many uses!  Soil testing complete for 5 bedroom home.  Trails off rear to Fruitlands museums, restaurant, conservation lands for cross country skiing, sledding,  and 100 conservation acres across road for hiking, horseback riding, and snowmobiling.  Beautiful town center with several commons, festivities and parades - year round events, top ranking schools, playing fields, and Bare Hill Pond for swimming, boating and fishing.  Dream come true – call it home!"|5|4/2/2025 4:40:00 PM|0|"N"||"Worcester"|"MA"|"A"|478724|10.99|"A,C,E"|"H,I,Q,X"|"A,C"|"N"||"N"||"N"|"B"|"N"
"LD"|73072332|"M9500684"|"AN0144"|"ACT"|300000|"0"|"Paige Hill Road"||869||"01010"|"N"|"Great location with view. Lots of privacy.  Abuts State forest. Land levels out at top.  Frontage for 3 potential building lots. Perc tests were done in 1992. Lot is on the right going up Paige  Hill starting after house#134 and continues 550 feet to just before house #140."|1|3/30/2023 7:56:00 PM|0|"N"||"Hampden"|"MA"|"A"|772754|17.74|"A,C"|"D,F,I"|"A"|"N"|||||"A"|"N"
"LD"|73072589|"NB113598"|"AN6187"|"ACT"|399900|"0"|"Newman Ave Rear"||70||"02771"|"N"|"Over 2 acres of land owned by Gulliver Development LLC. The property is located at the South end of Bergeron Street.  Preliminary subdivision plans have been prepared to subdivide the parcel into 3 lots. The plans would need to be submitted to the town and approved.  Ideal for a developer/builder, who wishes to subdivide the land and create three buildable lots. Natural gas and public water are nearby. As with all houses in Seekonk, the builder would need to install septic for each home.  Developer/Builder would need to obtain all approvals and install the road as well as bring in utilities."|2|1/21/2023 10:07:00 AM|0|"N"||"Bristol"|"MA"|"A"|95396|2.19||"J"|"A"|"N"|||||"C"|"N"
"LD"|73078210|"CN247833"|"H95126"|"ACT"|69900|"Lot 2"|"Fay Rd."||503||"01355"|"N"|"1.57 acres in bucolic New Salem. This land is within 1 mile of routes 2,122, and 202. A unique opportunity to build your 'happily ever after' home with peace, tranquility, and wildlife."|1|2/10/2023 2:50:00 PM|0|"N"||"Franklin"|"MA"|"A"|68519|1.57|"A,C,E"|"I"|"A"|"N"||"N"||"N"|"B"|"N"
"LD"|73084459|"TM333617"|"AN3217"|"ACT"|130000|")"|"Hapwell & Summit St."||156||"02740"|"N"|"Residential land located on dead-end street.  2 lots being sold as a package deal.  Each lot is approximately 6300 square feet located at the corner of Hapwell and Summit Street."|3|3/6/2023 10:25:00 PM|0|"N"||"Bristol"|"MA"|"A"|12600|0.29|"A"|"I,J"|"A"|"N"||"N"||"N"|"B"|"N"
"LD"|73102902|"NH000188"|"NH0059"|"ACT"|729000|"316"|"South Road"||1026||"03833"|"N"|"At the corner of South Road and Route 125 with over 600' frontage on Route 125 is 7 acres of level, mostly cleared land recently used as a garden center. There is a 1400 sf circa 1970 mobile home on the site with drilled well and septic. Brentwood's Commercial -Industrial district has a number of permitted uses. This property is adjacent to the Rockingham County Courthouse property near the Kingston Town Line in a growing commercial area. (A 900,000sf distribution facility was just approved by the Town of Kingston for the parcel two properties south of this land.)"|6|4/25/2023 3:39:00 PM|0|"N"||"Rockingham"|"NH"|"C"|306226|7.03|"A,M"|"D"|"G"|"N"||"N"|||"A"|"N"
"LD"|73104629|"CN203052"|"AN9041"|"ACT"|250000|"0"|"George Ryder Rd"||104||"02633"|"N"|"Amazing opportunity to build your dream home in Chatham on this .72-acre, panhandle, private residential lot. Build a 3-bedroom home connected to town sewer, 4-bedroom with approval. (buyer's & buyer's agents verify with Board of Health). The water, gas, electric, cable and sewer are on George Ryder Road. This property is convenient to shopping, seven restaurants, the bike path, a medical office, Chatham airport and Hardings Beach. A short ride to the village, there is so much to enjoy in this special place!"|6|4/25/2024 8:52:00 PM|0|"N"||"Barnstable"|"MA"|"A"|31314|0.72|"A,C"|"B"|"A"|"N"||"N"|||"B"|"N"
"LD"|73112190|"BB301669"|"AN5637"|"ACT"|200000|"0"|"Oregon Rd"||45||"01721"|"N"|"This single family house lot is located on a peaceful country road.  It offers a serene family environment.  The homesite is generously sized, measuring over 18 acres.  It provides ample space for constructing a spacious home, along with outdoor areas such as a backyard, garden or patio."|1|5/16/2023 5:55:00 PM|0|"N"||"Middlesex"|"MA"|"A"|788872|18.11|"A"|"D,G,I"|"A"|"N"||||"N"|"B"|"N"
"LD"|73115171|"K0001698"|"K01169"|"ACT"|75900|"0"|"Richards Ave"||419||"01612"|"N"|"Picturesque lot with woods and a stream. Great location near town center with excellent highway access. Buildable area is mainly open. Great 9 minute perk rate. Ready for your house plans."|3|5/23/2023 10:41:00 AM|0|"N"||"Worcester"|"MA"|"A"|291852|6.7|"A,C,E"|"G,I,K"|"A"|"N"|||||"B"|"N"
"LD"|73115226|"CT000674"|"AC0216"|"ACT"|3895000|"0"|"Charlotte Road"||31||"02032"|"N"|"±10.86 Acre Development Site• Lot A (Norwood):±7.79 Acres featuring General Residence Zoning• Lot B (Walpole):±3.07 Acres featuring General Residence Zoning• Off of Pleasant Street with quick access to Rtes.1, 1A, 27, 95 & 128 as well as the amenities ofWalpole and Norwood Centers.• Conceptual drawing for a 122 Unit ApartmentDevelopment"|1|5/23/2023 12:19:00 PM|0|"N"||"Norfolk"|"MA"|"F"|473061|10.86||"O"|"D"|"N"|||||"C"|"N"
"LD"|73116962|"BB801589"|"BB1650"|"ACT"|2300000|"483"|"Thurston"||38||"02093"|"N"|"C-1S Route 1 South District - IDEAL COMMERCIAL LAND - RT 1 NORTH and THURSTON ST- WRENTHAM - 6.82 ACRES - AT TRAFFIC LIGHT INTERSECTION - 2 MILES SOUTH OF PATRIOT PLACE - GILLETTE STADIUM - SOUTHERN EXPOSURE. Water and electricity on street  Prime Location - Easy to RT 95 and 495 via 4 wy intersection. Environmental Engineering Report is available upon request. So many uses for this land are allowed. Uses as per C-1S zoning as per town site pending approval for an individual project: Restaurant or fast food, drive up window, motel, hotel, bank, medical facility, car service repair, sale of trailers, motor vehicles, child care, office building, brewery, drive up window, car wash, recreation facility, amusement, warehouse, construction business, heavy equipment storage, school, place of worship, sale of nursery products this is just some of the uses. PRICE REDUCED"|6|7/16/2025 7:39:00 PM|0|"N"||"Norfolk"|"MA"|"C"|297059|6.82|"E"|"O"|"G"|"N"|||||"B"|"N"
"LD"|73125668|"M8000541"|"M95329"|"ACT"|279000|"0"|"Yokum Pond Rd"||572||"01223"|"N"|"A once-in-a-generation opportunity to own this stunning and scenic residential lot in a trophy-quality location in what could be the town’s most desirable spot! Natural topography, open meadow, woods and streams showcase absolutely sensational views of untouched nature. Tranquility and privacy abound at this picturesque place perfect for a dream home.  Only a stone’s throw away from the Danton Lake which is great for fishing, kayaking, and ATV ridding. Just a short stroll to the Appalachian Trail. Walking trails, fresh air, and serene sounds of beautiful wildlife every day. Very conveniently located to shopping centers, restaurants and major routes. The previously completed perc revealed excellent soil conditions. Approved and completed 1,000 ft driveway. Brand-new, 400-feet-deep, artesian well. Cozy and quality-built cabin with a garage, plenty of storage, bunk bed and wood stove. Take advantage of this truly unique opportunity to make this paradise your new address today!"|27|6/15/2023 5:43:00 PM|0|"N"||"Berkshire"|"MA"|"A"|696960|16|"A,C,E"|"D,E"|"A"|"N"|||||"B"|"N"
"LD"|73127174|"FR800050"|"AN4790"|"ACT"|55000|"0"|"Acushnet Ave."||156||"02740"|"N"|"Fenced in lot, business zoned with potential for many possible uses. Buyer and Buyer Agent to perform due diligence as to lots usage. To be sold as is."|9|12/19/2023 12:41:00 PM|0|"N"||"Bristol"|"MA"|"C"|4771|0.11|"A"|"D"|"G,K"|"N"||"N"|||"B"|"N"
