PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|MF_TYPE|NO_UNITS|NO_FLOORS|TOTAL_RMS|GARAGE_SPACES|PARKING_SPACES|LOT_SIZE|ACRE|SQUARE_FEET|COUNTY|STATE|YEAR_BUILT|ASSESSMENTS|TAXES|TAX_YEAR|TOTAL_BRS|TOTAL_FULL_BATHS|TOTAL_HALF_BATHS|BASEMENT_FEATURE|NO_BATHS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|BASEMENT|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|ELECTRIC_FEATURE|ROAD_TYPE|SHORT_SALE_LENDER_APP_REQD|AboveGradeFinishedArea|BelowGradeFinishedArea|TITLE5
"MF"|73331669|"CN227247"|"AN2013"|"ACT"|2600000|"114"|"Orleans"||1|"05L"|"02128"|"N"|"The information contained herein has been obtained from sources deemed reliable but has not been verified and no guarantee, warranty or representation either express or implied, is made to such information. Terms of sale and availability are subject to change or withdrawal without notice."|1|2/3/2025 10:26:00 AM|0|"N"||"E"|23|5|0|0|25|7510|0.17|18860|"Suffolk"|"MA"|2025|312500|3400|"3400"|0|0|0||"0f;0h"|"N"||||"N"||"N"||||"N"|18860||
"MF"|73332488|"CN259263"|"AN8461"|"ACT"|2199000|"79"|"Sydney Street"||1|"05V"|"02125"|"N"|"**OWNERS ARE OFFERING TWO MONTHS OF FREE RENT FOR QUALIFIED APPLICANTS.** This meticulously renovated three-family home is ideally located less than five minutes from the Savin Hill MBTA Red Line station. Boasting a completely refreshed façade, this property offers two valuable off-street parking spaces. Inside, you'll find gleaming hardwood floors throughout, luxurious marble bathroom floors and showers, brand new vanities, and state-of-the-art kitchens featuring Calcutta countertops, custom cabinetry, and brand-new stainless-steel appliances. Each unit includes in-unit laundry, smart access hardware, and individual HVAC systems for ultimate comfort.  Enjoy a brand-new deck system and private outdoor space with each unit. Each floor plan offers three/ four bedrooms and one bathroom. Amazing Savin Hill location—steps from vibrant shops, restaurants, and entertainment!"|31|2/5/2025 9:29:00 AM|0|"N"||"B"|3|3|18|0|2|3066|0.07|3882|"Suffolk"|"MA"|1900|999999|14000|"2024"|12|3|0||"3f;0h"|"N"||||"Y"||"N"||||"N"|0||
"MF"|73335379|"CN247887"|"AN6192"|"ACT"|1050000|"29"|"E Cottage"||1|"002"|"02125"|"U"|"This spacious triple-decker, situated in a prime location, is an excellent opportunity for investors or owner-occupants. Each unit has been partially updated with new flooring, countertops, and appliances. Additional highlights include a fully renovated back deck, a coin-operated washer and dryer in the basement, newer gas furnaces, water heaters, and separate utilities for each unit."|25|2/14/2025 1:02:00 PM|0|"N"||"J"|3|3|13|0|0|3717|0.09|2832|"Suffolk"|"MA"|1905|999999|8004.72|"2025"|7|3|0||"3f;0h"|"N"||"N"||"Y"||"N"||"J"||"U"|2832||
"MF"|73338870|"BB700064"|"BB5962"|"ACT"|1999000|"35"|"Heron"||1|"009"|"02132"|"N"|"INVESTORS/DEVELOPERS, don't miss this superior multi-property investment opportunity. July 10, we added a 3rd parcel of land. This property is very large & a gorgeous setting. It has .30 acres with 7386 sf including separate residential & commercial buildings: 1) A huge three-family of 4,488sf with 9 beds, 3 baths (2 new), spacious older kitchens with porches + decks. New windows on 3rd. 2) A large updated commercial warehouse of approximately 2,898sf that presently is configured with 3 truck bays, 2 large storage areas with an office and two half-baths in between. The warehouse has a new roof & updated with great space & baths. Property is clean and in good as is condition.Tenants in warehouse and units 2/3. They are TAW, cooperative and paying much less than market. Great income potential & 1031 exchange opportunity! The 3-Family is also very desirable for condo conversion. Grab this for yourself or clients. So much more! Seller will honor all Buyer’s agents! Easy to show."|34|6/27/2025 10:05:00 AM|0|"N"||"J"|4|3|20|2|5|12917|0.3|7386|"Suffolk"|"MA"|1920|1433800|8707.66|"2017"|9|3|2|"A,Q"|"3f;2h"|"N"||||"Y"||"N"|"Living area includes two lots of 3-family and huge updated warehouse with an additional lot of flat"|||"N"|7386||
"MF"|73343591|"BB800172"|"BB5918"|"ACT"|3995000|"30"|"Cumberland St"||1|"104"|"02115"|"N"|"Amazing development opportunity to create the home of your dreams in the heart of the city. Currently a 4,642 sq ft (see plans in public doc's.) 3-family corner row house with 3 exposures abuts the SW Corridor at the South End/ Back Bay border, on a quiet, tree-lined, dead-end street. Permits in place to add an additional 880 sq ft (total of 5,522 sq ft) this home can be transformed into the home of your dreams with 5 bdrms, 5.5 baths, an office, movie theater, roof rights, a 1,436 sq ft terrace, and 2 covered parking spaces. Close proximity to cafes, restaurants, theaters, shopping, playgrounds, dog parks, supermarkets, Rt 90W and all the South End & Back Bay have to offer. Endless possibilities. Seller welcomes offers with requests for compensation."|2|3/11/2025 11:39:00 AM|0|"N"||"B"|3|3|14|0|3|2130|0.05|4642|"Suffolk"|"MA"|1880|3622500|39485|"2024"|7|3|1||"3f;1h"|"N"||"N"||"Y"||"Y"||||"N"|3742|900|
"MF"|73343819|"TM334200"|"AN2383"|"ACT"|3700000|"27"|"Dudley St"||1|"FHL"|"02119"|"N"|"27 Dudley Street | Roxbury’s Fort Hill | 7-Unit | 14 Beds | 11 Baths | $24,250/Month Income | 7.2% Cap Rate Projected by 9/1/25.   Step into a high-performing investment with historic flair. Once home to Maurice Starr—where New Kids on the Block and New Edition recorded—27 Dudley Street blends cultural legacy with cash flow in Roxbury’s Fort Hill.This fully renovated seven-unit property is located in a federally designated Opportunity Zone, offering potential tax benefits. Gut-renovated in 2021, each unit features high-end finishes: waterfall quartz countertops, central HVAC, in-unit laundry, hardwood floors, and 8+ off-street parking spaces. By September 1, 2025, the property is projected to generate $24,250/month in rental income with a 7.2% cap rate. Located near public transit, universities, and Longwood Medical, this is a rare turnkey opportunity in one of Boston’s most dynamic growth corridors. Full pro forma and unit breakdown available upon request."|41|4/14/2025 8:51:00 PM|0|"N"||"E"|7|3|28|0|8|8241|0.19|6509|"Suffolk"|"MA"|1900|1988500|23245.5|"2025"|14|11|0||"11f;0h"|"N"||||"N"||"Y"|"Living area was measured, buyer to do own due diligence."||"A"|"N"|5291|1218|
"MF"|73344359|"BB810678"|"AN7665"|"ACT"|1499900|"1524"|"Commonwealth Ave"||1|"011"|"02135"|"N"|"Great investment opportunity with about 6% cap rate Location-Location! A truly exceptional opportunity awaits you with this rarely available 2 family rowhouse on Commonwealth Avenue. Situated just 0.1 miles away from MBTA Green line (B) Washington St T-stop and 0.3 miles away from Whole Foods, variety restaurants and shops. This brick home is very special and it's much larger than it looks from the outside. Unit A is a 6 bed, 3 bath, 3 parking off street spaces rented $6220 and it features a private deck, large living room, high ceilings, decorative fireplace, eat-in kitchen and gorgeous layout with two floor levels. Unit B is a 2 bed, 1 bath with 1096 Sq. Ft. rented $2400. The both units have separate gas heat & electric meters. Total rent is $8620 per month. Easy commute to Boston University, Boston College, Northeastern University, Longwood Area, downtown and much more. Don’t miss your chance to secure this remarkable investment property. Low maintenance and very low operating costs"|30|3/12/2025 10:52:00 AM|0|"N"||"A"|2|2|12|0|3|2378|0.05|3331|"Suffolk"|"MA"|1885|1029800|11225|"2024"|8|4|0|"A,D"|"4f;0h"|"N"||||"Y"||"Y"|"The public records indicates 2284 SqFt Total living area"|||"N"|2262|1069|
"MF"|73344869|"BB810678"|"AN7665"|"ACT"|5999999|"237"|"Cummins Hwy"||1|"008"|"02131"|"N"|"Great investment opportunity at The Hillcrest, this four-story brick building offers a substantial almost 14,000 square feet of living space on a 0.32-acre lot. The property comprises 16 residential units, providing 15 two-bedroom units and 1 one-bedroom unit and 16 parking spaces. Each unit is equipped with electric heating, simplifying maintenance by eliminating the costs associated with traditional heating systems. Residents benefit from off-street parking, with almost one space available per unit. The building's proximity to Roslindale Village station and multiple MBTA Bus routes ensures convenient access to the wider Boston. The current cap rate is over 5%, with potential for revenue enhancements through possible rent increases."|25|3/12/2025 10:34:00 PM|0|"N"||"E"|16|4|63|0|16|14044|0.32|13800|"Suffolk"|"MA"|1970|2600800|30406|"2025"|31|16|0||"16f;0h"|"N"||||"N"||"N"|||"C"|"N"|13800||
"MF"|73345603|"CN210218"|"AN2383"|"ACT"|4500000|"666"|"Massachusetts Ave"||1|"104"|"02118"|"N"|"Enjoy this 2017 fully renovated, 5 unit brownstone ready to go and fully tenanted at $18,600/month. This multifamily offers high ceilings, large window exposures, open living room & kitchen floor-plans, white marble countertops, hardwood flooring throughout, bathrooms with walk-in showers & glass doors, recessed LED lighting, Bosch appliances including in-unit laundry, central a/c and large, private decks including a roof top deck for the penthouse unit. Don't forget the two deeded parking spots that come with it.  *See attached matterports and floor plans.*"|30|3/31/2025 7:01:00 PM|0|"N"||"P"|5|5|14|0|2|0.04|0|5050|"Suffolk"|"MA"|2017|3297500|38555|"2025"|9|7|0||"7f;0h"|"N"||"N"||"N"||"N"|"includes deck space"|"H"|"B"|"N"|5050||
"MF"|73347094|"BB810140"|"AC0429"|"ACT"|2599000|"410-412"|"Harrison Ave"||1|"104"|"02118"|"N"|"Huge price reduction. Investment Opportunity Knocks: A rear chance to own a 4-family brick house in this prime South End area. Just across from the Ink Block on E Berkeley St that close to everywhere. The house is at older condition, all rents are below market, potentially to raise rent with some renovation. House to be sold ""as is "" condition. All units are leased but will expire soon, all rents below market, the rent for  the 2nd floor is approximately estimated. Buyer or buyer's agent to do their own due diligence, seller or seller agent makes no representation or warranty. . Short walking distance to WholeFoods Market, Peters Park, BMC, TMC & Downtown. Do not miss this opportunity. Easy showing, just some notice ahead."|26|3/27/2025 11:58:00 AM|0|"N"||"M"|4|4|19|0|0|1086|0.02|3496|"Suffolk"|"MA"|1910|1353100|15814|"2025"|11|4|0|"A,F,G,M,Q,R"|"4f;0h"|"N"||||"Y"||"N"|"Living area not include basement. Potentially to be finished by future owner."|"F,J"|"A"|"N"|3496||
"MF"|73348223|"CN216101"|"AN8461"|"ACT"|1090000|"258"|"Lexington Street"||1|"019"|"02128"|"N"|"VACANT! the property is a fantastic opportunity for an owner user or investor. The property is a very well cared for three-unit property that consists of a 1-bedroom, 2-bedroom and 3-bedroom unit. The property features hardwood floors, open floor plans, updated kitchens and base-building improvements. Located just outside Day Square in East Boston, the property is a short distance to amenities and the Blue Line MBTA."|5|6/20/2025 4:21:00 PM|0|"N"||"J"|3|3|15|0|0|1250|0.03|3121|"Suffolk"|"MA"|1910|99|99|"99"|6|3|0||"3f;0h"|"N"||||"Y"||"N"||||"N"|3121||
"MF"|73349690|"CN233515"|"AN6223"|"ACT"|1695000|"1"|"Copeland Park"||1||"02119"|"N"|"Stabilized Roxbury four-unit building with 12 total bedrooms and tons of upside from a rent income standpoint. Property will generate $10,856 based on approved rents. Currently generating $9,600 per month w/ two underperforming units that are occupied by long-term tenants. Limited CapEx to eclipse $13k+ per month in rent income (e.g. fresh paint, new fixtures). Expected low vacancy and high appreciation potential based on market trends, local development, and zoning overlay that promotes new/improved housing (Neighborhood Design Overlay District: Roxbury). The allure of this property is tons of living area square footage and a small, low-maintenance lot that essentially covers only the footprint of the building. There are two 4bd/1br units that both have two levels of living space and two 2bd/1br units that both have internal access to a full, unfinished basement. Capitalize on this functional multifamily with untapped potential that's set on a dead-end way in the heart of the city."|42|3/25/2025 11:42:00 AM|0|"N"||"C"|4|3|20|0|0|2780|0.06|5888|"Suffolk"|"MA"|1900|927200|10107|"2025"|12|4|0|"A,G,I,M,Q,R"|"4f;0h"|"N"||||"Y"||"Y"|||"A,C,E,H"|"N"|4488|1400|
"MF"|73349929|"CN212675"|"AN1252"|"ACT"|5795000|"161"|"Allston Street"||1|"010"|"02134"|"N"|"$33,520/Month Rent Roll with Renewals through 2026. Turnkey-Condo quality 7 unit apartment building located in the Allston submarket of Boston, Massachusetts.   The property was completely gut-renovated in 2023. All plumbing and electrical was updated, full sprinkler system was put in, new energy efficient windows were installed, and kitchens and bathrooms were updated. The property also features separate gas heating and water meter systems in which the tenants are responsible for heat and hot water costs. The property is sandwiched in between Boston College, Boston University, Saint Elizabeth's Medical Center, New Balance Headquarters as well as the ever-expanding Boston Landing mixed-use project. The subject property sits just 200 feet from the Allston Street Station on the Green Line which allows tenants easy access to all of Boston."|11|3/25/2025 4:44:00 PM|0|"N"||"E"|7|4|0|0|0|0.09|0|6690|"Suffolk"|"MA"|1920|1|23861|"2024"|25|8|0||"8f;0h"|"N"||||"Y"||"N"||||"N"|6690||
"MF"|73350904|"NA900671"|"NA9246"|"ACT"|2995000|"933"|"E Broadway"||1|"005"|"02127"|"N"|"The 3 Decker of ALL 3 Decker's.  933 E Broadway has a Rare Combination for a multi family and that is OCEAN & CITY VIEWS.  This gem is located in Southies best address Upper Broadway by Farragut Road.  The units are 4 bedrooms with 2 baths each.  Adding to this incredible investment this property is now zoning approved for a 4th unit.  This distinguished property towers above its counterparts in both size and character.  It is one of South Boston's largest 3 Decker's. This is a generational opportunity for a Top 5 Triple Decker (now 4 units) in South Boston."|29|4/9/2025 2:51:00 PM|0|"N"||"B"|3|3|18|0|0|4000|0.09|5400|"Suffolk"|"MA"|1905|0|25473|"2025"|12|6|0||"6f;0h"|"N"||||"Y"||"N"||||"N"|5400||
"MF"|73351158|"CT003909"|"AN6656"|"ACT"|7000000|"64"|"Revere Street"||1|"102"|"02114"|"N"|"Rare opportunity to acquire a 11-unit apartment building in the heart of Boston’s historic Beacon Hill neighborhood. Located at the corner of Revere and Grove St, 64 Revere St features 7 1-bedroom units and 4 2-bedroom units with great layouts, abundant natural light, hard wood floors, exposed brick walls and plenty of character thru-out.  The property offers tremendous value-add potential through in-unit renovations or future condo conversion. As one of the oldest, safest, and most picturesque neighborhoods in the city, Beacon Hill is one of the top destination for city residents. 64 Revere is steps to Charles Street shops and restaurants, public transportation, downtown, the Back Bay, MGH, the State House, the Esplanade, Newbury St, Boston Common and the Public Garden.  This is a must see building that offers a variety of options for investors and developers.  Please see showing notes below."|14|3/27/2025 1:35:00 PM|0|"N"||"P"|11|5|9|0|0|1040|0.02|6240|"Suffolk"|"MA"|1899|9|9|"9999"|9|9|9||"9f;9h"|"N"||||"Y"||"N"||||"N"|6240||
"MF"|73351930|"BB810125"|"AC1676"|"ACT"|1600000|"29"|"G St"||1|"005"|"02127"|"N"|"****TURNKEY investment property**** FULLY LEASED THROUGH 8/31/26 $10150 PER MONTH. Comprised of two (2) 3-Bedroom/1-Bathroom units and two (2) parking spaces. Ideally located a block from the intersection of East and West Broadway, this Property presents a unique opportunity to acquire a fully leased core asset in an exceptional location within one of the nation's most robust real estate markets. The property is ideal for a savvy investor looking for income growth, strong investment returns, or stable cash flow in a market with historically high rental demand. Excellent location with convenient access to transportation networks connecting to the other neighborhoods of Boston. 2 parking spaces rented for $350 each on lease to 8/31/26. Current rent $9900 per month. 9/1/25 rent $10150 per month."|24|3/30/2025 12:16:00 PM|0|"N"||"A"|2|4|10|0|2|1215|0.03|1952|"Suffolk"|"MA"|1890|999|11681|"2025"|6|2|0|"A"|"2f;0h"|"N"||"N"||"Y"||"Y"||||"N"|1464|488|
"MF"|73352390|"BB810281"|"AN3781"|"ACT"|2375000|"70"|"North Margin"||1|"103"|"02113"|"N"|"**Investment Opportunity** 70 North Margin Street hidden on a quiet, residential side street in Boston's North End. Property is comprised of 4 units. (1) 1 bedroom/1 bath with private deck, (3) 2 bedrooms/1bath. Unit 1 Lease ending 7/31/2026; Unit 2 owner occupied, and Units 3 - 4 are currently Leased through August 31, 2026. Current rents are under market. Rents can be increased in current condition. Bonus 640 square feet of deeded land (possibly buildable) directly behind the property on 5 Douglas Ct, Finished Basement Includes Fireplace, 2 Washers/2 Dryers.  Excellent opportunity for add on value. Steps away from Public Transportation as well as easy access to everything the city of Boston has to offer. Property and additional land is sold in ""AS IS"" condition.  Buyer must do their own due diligence."|15|3/31/2025 5:42:00 PM|0|"N"||"C"|4|4|15|0|0|3400|0.08|3400|"Suffolk"|"MA"|1920|1138600|13185|"2025"|7|4|0||"4f;0h"|"N"||||"Y"||"N"|"Living Area does not include Basement Level"|||"N"|3400||
"MF"|73352518|"BB922888"|"NA9246"|"ACT"|1470000|"511"|"East 7th"||1|"005"|"02127"|"N"|"Price reduction, floors redone and fresh paint! Fantastic, free standing, East side  two family. This building has been meticulously kept up and is full of charm and high-end finishes.  The first floor is a two bed one bath with hardwood floors, updated kitchen and deck, the owners unit is an oversized, two bedroom, one and a half bath duplex with open floor plan, birds eye maple flooring throughout, amazing fully applianced kitchen with ton of cabinets, two sinks, and walk out deck. The top floor has two bedrooms, full bath and roof deck with water views. The basement if fully finished with wet bar and full bathroom, there is shared laundry and a shed. New roof this year. This is a rare gem of a building not to be missed. Both units have central A/C."|33|7/17/2025 4:31:00 PM|0|"N"||"A"|2|3|8|0|0|1416|0.03|2000|"Suffolk"|"MA"|1900|1186300|12934|"2024"|4|2|1|"D,F"|"2f;1h"|"N"||"Y"|"J"|"Y"|"N"|"N"|"Square footage does not include finished basement."|"A"|"A"|"N"|2000||
