PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|SALE_AGENT|SALE_OFFICE|SALE_PRICE|SETTLED_DATE|NEIGHBORHOOD|COUNTY|STATE|BU_TYPE|LOT_SIZE|BLDG_SQ_FEET|PARKING_SPCS|REAL_ESTATE_INCLD
"BU"|73183785|"CN223784"|"AN4743"|"SLD"|75000|"263"|"Washington Street"||56||"02481"||"Discover a golden opportunity to own a charming and successful restaurant in a prime location. This turnkey establishment is the epitome of culinary excellence, and here's why Don't miss out on this fantastic opportunity to take the reins of a previously successful restaurant with a proven track record. Explore the potential of this charming culinary gem. It's the perfect investment for your entrepreneurial aspirations: Restaurant is not currently open. Price reflects the opportunity to take on a restaurant ready of most renovations, electrical, plumbing equipment and a low rent on a great location."|13|11/30/2023 11:51:00 AM|0|"N"|"CN223784"|"AN4743"|60000|7/26/2024||"Norfolk"|"MA"|"C"|700||0|
"BU"|73199144|"CN228005"|"AN5962"|"SLD"|75000|"27-29"|"Wyman"||192||"02072"||"AMAZING LOCATION! Right next to the train station. Very busy area with tons of foot traffic and train commuters. A loyal customer base and a great reputation throughout the town. Parking is a non-issue due to the availability of a Municipal Parking Lot, as well as on street and Off-street parking. This is an amazing opportunity with Unlimited Potential to expand business offerings, increase hours of operation, and potential for OUTDOOR dining. Kitchen area is HUGE and completely set up for success. Operating out of the same location for over 30 years, this is truly a one-of-a-kind GEM!"|3|2/3/2024 5:12:00 AM|0|"N"|"BB812073"|"AN6243"|68000|2/28/2025||"Norfolk"|"MA"|"M"|11928||25|
"BU"|73206104|"CN207682"|"AN2376"|"SLD"|225000|"000"|"Washington"||12||"02445"||"~~~~~Prime location ~~~Amazing opportunity to own a well established restaurant business for sale in the high traffic area, very convenient location, Walk to MBTA, 1 minute walk to Children's Hospital.  It is surrounded by retail, apartments and offices. Located in a high visibility. This is a truly unique opportunity to step into a steady and busy turn-key restaurant setting.30 Seats, 925 Sq.ft, Beer & Wine Liquor License,,, Has basement. Rent $5100 +/- Business Revenue $60k monthly. full liquor license."|24|2/27/2024 8:06:00 PM|0|"N"|"BB954756"|"AC0342"|178000|11/19/2024||"Norfolk"|"MA"|"B"|0||0|
"BU"|73215738|"B8000504"|"AC0746"|"SLD"|65000|"0000"|"Somverville Ave."||17|"USQ"|"02143"||"Well established convenience store located at a busy area in Union Square Somerville . This store has been successfully operating over twenty four years by the current owners, but this store was founded since 1981. Everybody in the neighborhood goes to this store to buy everyday household products, food, cigarettes, lottery, and Keno These owners are ready to retire, so they hope to pass this opportunity to the next person who is ready to be their own boss. Only 70K to start a new business and be your own boss!"|7|6/13/2024 7:33:00 AM|0|"N"|"b8000504"|"ac0746"|50000|8/31/2024||"Middlesex"|"MA"|"K"|500||0|"N"
"BU"|73222510|"FR800061"|"AN8116"|"SLD"|449000|"1819"|"South Main St"||161||"02724"||"We are Delighted to Present an Iconic Restaurant for sale after 74 years of providing exceptional cuisine to the Southcoast area and beyond. This sale includes the Real Estate,  the Business, and all equipment. The Owners are willing to train a new owner for a period of time before retiring. This is a Great Opportunity to own and operate a Turn Key, extremely successful Business with a fantastic following. This establishment has capacity for 73 seats and is also located on a highly traveled street."|20|4/10/2024 4:13:00 PM|0|"N"|"FR800517"|"AN8116"|350000|2/3/2025||"Bristol"|"MA"|"C"|3472|2120|1|"Y"
"BU"|73224314|"CN234037"|"M80012"|"SLD"|449900|"1327-1329"|"East St"||856|"19T"|"01056"||"ATTENTION BUSINESS OWNERS & OWNER OCCUPANTS! Mixed Use property w/lots of possibilities.  A beautiful residential unit on the second level. The commercial space on the first level is approximately 1500 sq.ft. w/office space, sunroom, full bath, front porch, separate electrical panel.  Water heater (2023), furnace (2017), roof (2021),  1000 gal owned propane tank & new septic system (2023).  Ample parking for guests & customers.  The single family located on the second level is an absolute stunner, w/3 bedrooms, 2 1/2 baths, 4 seasoned porch, screen porch & deck. The second level will impress w/the updated kitchen with ss appliances, subway tile and adorable dining area, living room, sliders to the 4 season porch, dining room, 3 bedrooms, 2 1/2 baths.  Please see MLS #73224312 to view the fully listing for residential unit. Don't miss out on this great opportunity!!!"|27|7/23/2024 6:17:00 PM|0|"N"|"BB985002"|"BB9840"|440000|1/31/2025||"Hampden"|"MA"|"M"|45738||15|
"BU"|73242167|"CN211088"|"AN1979"|"SLD"|280000|"251"|"Water St"||195||"02169"||"Business Only   A fully equipped and well-established repair shop with a great reputation from insurance companies and a loyal customer following. The shop has been in business for over 10 years. 3 bays garage with 2 lifts, and a separate customer area. All equipment is in excellent condition and is included in the lease, a complete range of tools to perform all aspects of auto body collision repair, including a spray booth, and a frame machine. This turnkey business is on a busy street with a long-standing customer base. Take over this business and continue providing quality service to the community. 5 year lease w options to renew"|1|5/23/2024 11:50:00 PM|0|"N"|"CN211088"|"AN1979"|260000|4/12/2025||"Norfolk"|"MA"|"L"|9469||20|
"BU"|73242225|"TM323824"|"AN3817"|"SLD"|129900|"275"|"Martine Street"||161||"02723"||"BE YOUR OWN BOSS!  A fully operational restaurant opportunity awaits you! Conveniently situated at the junction of RT6, where Fall River merges with Westport, this turn-key restaurant offers prime visibility to attract customers from the surrounding area. Boasting two decades of establishment, this location is ready to seamlessly transition to your preferred cuisine with its fully furnished kitchen. Benefit from effortless marketing with prominent street signage & 5 dynamic menu screens showcasing your delectable offerings. The sale includes all essential restaurant equipment: an open flat & charcoal grill, showcase cooler, dough mixer, along with upgraded features like a deli counter & deli case, freezer, & POS system. With 28 indoor seats, outdoor dining options, BYOB policy, a handicapped facility, and ample parking, this opportunity provides everything you need to kickstart your culinary venture today!"|15|5/24/2024 10:01:00 AM|0|"N"|"TM323824"|"AN3817"|125000|8/12/2024||"Bristol"|"MA"|"C"|56000|1400|20|"N"
"BU"|73244609|"M8000527"|"AN7885"|"SLD"|275000|"53"|"Elm Street"||862||"01085"||"Investors looking for a successfully run LIQUOR BUSINESS for over 75 years  located in the heart of DOWNTOWN Westfield, THIS is the opportunity you have been waiting for!  Plenty of visibility, located on a highly traveled main street with lots of foot traffic to draw in tons of business for liquor/lottery/cigar sales.  Retail space features a beautiful tin ceiling, 18 camera security system, C/Air, 14-Door Cooler, Separate cooler room, all equipment and antiques, 1/2 Bath, plenty of storage in back room. clean/dry and organized basement and separate detached storage room as well.   Plenty of parking with attached lot for approx 10 off street spaces as well as on street parking and public parking in back of building."|14|5/30/2024 8:13:00 AM|0|"N"|"M8000527"|"AN7885"|319000|4/1/2025||"Hampden"|"MA"|"J"|0.17|1800|20|"N"
"BU"|73248796|"CN245956"|"AN0910"|"SLD"|1250000|"305"|"Hokum Rock"||105|"SDE"|"02660"||"Located in the Mid Cape area a 12,600 sq ft building currently the home of Cape Cod Health & Fitness. A full service facility offering aerobics, yoga, free weights, spinning , ellipticals, massage therapy and much more. Classes taught by certified instructors that have years of experience. In addition to a health and fitness facility this well constructed building is adaptable to commercial or residential uses."|11|6/6/2024 5:09:00 PM|0|"N"|"A9501361"|"A95308"|1175000|10/9/2024||"Barnstable"|"MA"|"H"|1.3||30|
"BU"|73250019|"B0469161"|"B95179"|"SLD"|300000|"1"|"Railroad Ave"||315||"01960"||"The Little Depot Diner is a special little breakfast place. A place where cell phones and laptops are things of the future. Built-in 1929 this 13 stool Worcester Lunch car #650 still maintains the charm of yesteryear and continues to serve up great comfort food at reasonable prices. The sale price is for everything-diner, all equipment and property! Diner is 792 square feet"|22|6/18/2024 1:57:00 PM|0|"N"|"NB112907"|"B95179"|275000|9/27/2024||"Essex"|"MA"|"M"|2370||3|"N"
"BU"|73250797|"CN207682"|"AN2376"|"SLD"|60000|"000"|"Busy St"||365||"01844"||"Investors looking for a successfully run Restaurant Business for over 15 years located in the heart of Methuen, THIS is the opportunity you have been waiting for! Plenty of visibility, located on a highly traveled main street with lots of foot traffic to draw in tons of business for restaurant. Full Liquor license, Plenty of parking , share parking off street 20 spaces.60 seats, 2000, sq.ft , rent is $3400 including nnn, 3 years left with 5 more years optional."|17|6/11/2024 9:16:00 PM|0|"N"|"CN207682"|"AN2376"|60000|1/31/2025||"Essex"|"MA"|"I"|99999999||20|
"BU"|73251546|"CN216704"|"AN6861"|"SLD"|649900|"103"|"Bowler St"||312||"01904"||"INVESTORS/ SBA OPPORTUNITY - 103 Bowler Street is a 3BD/2BTH multifamily unit, vinyl sided and gas heat. The first floor unit is a 1BD/1BTH including a double LR, a large eat in kitchen with pantry and a mudroom with private entrance. The second floor unit is a 2BD/1BTH with LR, large eat in kitchen and private entrance. The front entrance hall has access to both units, hardwood floors and a beautiful staircase which is a statement to the early 1900s. Off street parking in driveway. Property has a large commercial heated garage and being sold along with MLS 73251547. Please reach out for additional information."|21|6/12/2024 6:36:00 PM|0|"N"|"CN216704"|"AN6861"|625000|10/31/2024||"Essex"|"MA"|"F"|6804|2214|8|"Y"
"BU"|73251547|"CN216704"|"AN6861"|"SLD"|1499900|"109-111"|"Bowler St"||312|"WYO"|"01904"||"INVESTOR / SBA OPPORTUNITY -109 Bowler Street is currently set up for 2 floors of offices, with expansion opportunities for more offices or additional living space on third floor. There are 2 full bathrooms, a kitchen area minus appliances and 2 floors of warehouse space. This large building was previously used for manufacturing architectural metal. There are 2 bays/loading docks. The 2nd floor dock was accessed by a forklift. Investors take notice of this opportunity. Property has a large heated commercial garage on a portion of the lot. Please refer to MLS 73251546 for additional Real Estate."|33|6/12/2024 6:36:00 PM|0|"N"|"CN216704"|"AN6861"|875000|10/31/2024||"Essex"|"MA"|"F"|5000|7597|10|
"BU"|73256808|"D9500144"|"AN2430"|"SLD"|330000|"00"|"Confidential"||315||"01960"||"Excellent opportunity to own your own and profitable business in Peabody area.  16,000-17,000 per week and currently open 5 days a week!  Imagine if you are open 7 days!  Owner after many years in the business wants to retire.  All info confidential including location."|0|6/24/2024 11:00:00 PM|0|"N"|"NB112907"|"B95179"|200000|10/15/2024||"Essex"|"MA"|"C"|35000||50|
"BU"|73258792|"BB980129"|"AN1208"|"SLD"|495000|"1234"|"Confidential"||374||"01821"||"Opportunity time if you are a DENTIST and want to have your own practice all setup for you and running with clients, or you would like to expand into this great area on a main road. A 10-year dental practice in great main road location all set up and operating as a dentist office. Two business condo units, one a dental practice and the adjoining one is for future expansion. Due to family issues, this 10-year founder and owner needs to move overseas. All equipment, furniture and client base, along with the two units will be all sold together. Email listing agent to sign a NDA to obtain more information. There are no exclusions- everything goes as one package."|1|6/28/2024 4:46:00 PM|0|"N"|"CN240510"|"BB8162"|290000|11/5/2024||"Middlesex"|"MA"|"F"|0||8|
"BU"|73260335|"CT000511"|"A95532"|"SLD"|3800000|"165"|"Woods Hole Rd"||107||"02540"||"Formally this home was operated by the Gosnold organization as a long term addiction treatment facility.  This stunning 18-room mansion, spanning 5,793 square feet, is a rare find in the heart of one of Massachusetts' most desirable locales. The young title 5 septic is for 30 heads on pillows.  The home currently holds 26 twin beds for Scientific Summer Camp studies. There are 9 bedrooms.  Set on a generous 2.37-acre lot, the property offers ample privacy and space for outdoor activities, gardening, or potential future expansions. Deeded beach rights to Racing beach. This turn-of-the-century mansion retains its original charm with beautiful hardwood floors and a captivating fieldstone fireplace, creating a warm and inviting atmosphere.  The heating, electric, alarm systems are all to code. Equipped with an industrial kitchen, the home is a chef's dream, ideal for preparing gourmet meals or hosting large gatherings.Buyer buyer to verify all information herein."|42|7/5/2024 10:33:00 AM|0|"N"|"CN246959"|"AN6584"|3100000|11/21/2024||"Barnstable"|"MA"|"M"|103672|5793|16|"Y"
"BU"|73263446|"CN255031"|"AN8677"|"SLD"|65000|"000"|"Dartmouth St"||157||"02748"||"Turn Key Business Opportunity: Charming restaurant and catering company for sale in lovely South Dartmouth that comes with all the chef's secrets. Seize the chance to own a thriving restaurant nestled in a quaint building in the picturesque town of South Dartmouth, Massachusetts. This well-established eatery boasts a prime location, attracting both locals and tourists with its inviting atmosphere and exceptional culinary offerings. The restaurant features a beautifully maintained interior that exudes warmth and charm, perfect for an intimate dining experience. With a fully equipped kitchen, this property is ready for immediate operation. Located in a vibrant neighborhood with high foot traffic, near beaches, schools and many well established retail locations, the restaurant benefits from a loyal customer base and a strong reputation for quality and service. This is an exceptional opportunity for an entrepreneur or an experienced restaurateur looking to expand their portfolio."|11|7/11/2024 12:53:00 PM|0|"N"|"CN255031"|"AN8677"|68250|10/22/2024||"Bristol"|"MA"|"C"|0||0|
"BU"|73264640|"FR800092"|"AN3817"|"SLD"|109900|"1550"|"North Main"||161||"02720"||"Great opportunity, currently being used as a dog grooming business. Only the building and Real Estate are being sold not the business or any of the equipment are being conveyed. This property lends itself to many uses as it being in a B-L zoning district. The building is in great shape with forced hot air heating, and central air conditioning.it has a bathroom and a 200-amp electrical panel. It is on a highly traveled main rd. This is a great opportunity for someone looking to start, or have a nice little business at a very minimal price. Call Me for a private showing to see the possibilities."|7|7/15/2024 11:28:00 AM|0|"N"|"FR800092"|"AN3817"|110000|8/19/2024||"Bristol"|"MA"|"M"|571|537|0|"Y"
"BU"|73273773|"BB815772"|"AC1383"|"SLD"|99000|"127"|"Mount Auburn Street"||41|"37D"|"02472"||"Well established (2012) and popular ice cream/frozen yogurt shop in a great location right on Mt. Auburn Street in Watertown.  Located a short distance from Watertown Square and not far from the Arsenal Yards!  The owner is relocating out of state but will be sure to stay on to train the buyer and offer all recipes from the shop!  This is a great opportunity to be your own boss in a bustling neighborhood.  Mt. Auburn Street is currently undergoing major renovations and should only help propel this business forward with plenty of growth potential.  The current lease is through 8/31/26 with extension flexibility which can be negotiated with the Landlord prior to closing.  Business capacity is 6 interior seating and 5 outdoor seating.  Business permits are for frozen desserts, juices, smoothies, milk shakes, lemonade, tea, coffee, soups and use of a convention oven.  Endless possibilities await you!"|12|8/5/2024 2:21:00 PM|0|"N"|"BB815772"|"AC1383"|90000|10/10/2024||"Middlesex"|"MA"|"M"|0|600|0|"N"
"BU"|73275181|"CN207682"|"AN2376"|"SLD"|250000|"000"|"Main St"||40||"02451"||"Lucrative Business Asset ,,,,, Are you ready to step into a thriving opportunity? Our established business asset is up for grabs! With a track record of success and a solid customer base, this asset promises immediate returns on your investment. 48 Seats,  Full liquor license is included, Rent $3450.  monthly with nnn,1500.sq.ft. open 6 days a week. Monthly business revenues $65,000."|3|8/7/2024 10:01:00 PM|0|"N"|"cn207682"|"AN2376"|238000|4/1/2025||"Middlesex"|"MA"|"B"|0||10|
"BU"|73276780|"TM321745"|"AN7316"|"SLD"|50000|"746"|"Main Street"||44||"01890"||"Full-service Beauty Salon Business for sale in Winchester. Jumpstart your hair stylist career by taking over a 30-year established business being offered with the entire book of business complete with well known business name, phone number, equipment, clients, and products, and the current 3-year lease locked in at a competitive rate of $2,350 a month which will be transferred to the new owner. Gorgeous ground level salon in a high walking traffic area with a Walk Score of 91. Salon includes 9 styling stations, 3 washing stations, 2 nail booths, 2 bathrooms, a private massage room, an office/break room, and a laundry room with a sink.  Large glass windows welcome natural light into the reception area. Enjoy the convenience of a private, shared parking lot for clients plus plenty of on street parking. This is an amazing opportunity to start your own beauty business without the cost of construction or renovating. Potential seller financing available."|15|8/12/2024 7:17:00 PM|0|"N"|"TM321745"|"AN7316"|50000|10/9/2024||"Middlesex"|"MA"|"D"|0||10|"N"
"BU"|73277281|"D0008983"|"AN6557"|"SLD"|175000|"0000"|"Confidential Street"||371||"01826"||"Dracut, a rare opportunity to purchase an existing, good standing liquor license.Seller is willing to lease existing location for one year or so, with an acceptable lease, until a new location can be established and license can be transferred.All licensing must be approved by the town and state permitting."|1|8/13/2024 6:00:00 PM|0|"N"|"CN243628"|"AN6887"|162500|4/21/2025||"Middlesex"|"MA"|"J"|0||10|
"BU"|73281615|"CN257796"|"AN6169"|"SLD"|110000|"385"|"Main St"||41||"02472"||"Are you ready to turn your dream of owning a restaurant into a reality? This well-established and profitable location has been serving satisfied customers for over 15 years. With current operating hours from 6AM to 2:30PM, there's significant potential to boost revenue by expanding hours. Situated in a vibrant neighborhood, this beloved Spot enjoys consistent traffic from nearby businesses and schools. The thoughtfully crafted menu, designed by the current owner, meets the tastes of the community, and all equipment—along with cherished family recipes—will be included in the sale. Outdoor seating is an option with a city permit, something the owners have successfully utilized in the past. To ensure a smooth transition, support and training can be arranged for the initial weeks of operation. Don’t miss out on this rare opportunity to step into a successful business and make it your own! Please reach out to Melissa and Nora via email with all questions and showing requests."|38|8/25/2024 11:17:00 AM|0|"N"|"CN257796"|"AN6169"|121000|10/31/2024||"Middlesex"|"MA"|"C"|99999999||18|"N"
"BU"|73282139|"BB810541"|"AC0783"|"SLD"|285000|"540"|"Central Ave"||70||"02771"||"OPPORTUNITY to own this well established barbecue and wing restaurant with liquor, take out, catering and license for entertainment. Turnkey on a very busy main road located in Seekonk on the Attleboro line. In business since 2007. Complete kitchen, dry storage, attached beer cooler, cooler and a freezer. 16 tap lines flat screen tv's and projector tv for those sporting events that bring in the crowds. Price as listed plus inventory (food/liquour - aprox 30K). Owners will enter a triple net lease back for the building. Reach out for more info - NDA required prior to financials.  Do not discuss with employees please."|15|8/27/2024 1:07:00 PM|0|"N"|"ct003291"|"bb9924"|285000|6/6/2025||"Bristol"|"MA"|"B"|18295||26|"N"
"BU"|73286275|"BB810140"|"AC0429"|"SLD"|59000|"999"|"Confidential St"||371||"01826"||"Business Opportunity. Rare chance to own your business here. A 40 years historical local Chinese Restaurant in a plaza, has accumulated a large number of loyal customers. Owner planning to retire and looking for someone to take over the business. Average monthly gross business income approximately over $60k, and can genarate higher income for holiday season. Still has long term lease to serve. Plenty of potential to increase the gross income with your own magical operation."|13|9/5/2024 10:41:00 PM|0|"N"|"TM312128"|"an5706"|55000|11/26/2024||"Middlesex"|"MA"|"C"|999999||200|
"BU"|73288467|"CN221292"|"AN7014"|"SLD"|125000|"0"|"Confidential Rd"||408||"01581"||"Profitable Honey Dew Donuts Franchise business opportunity for sale in Westborough. Prospective franchise has to be qualified by HDA. Buyers to do their own due diligence on franchise financial requirement and qualifications. NDA required to release financial documents. Do not disturb employees."|6|9/11/2024 12:23:00 PM|0|"N"|"CN221292"|"AN7014"|95000|5/7/2025||"Worcester"|"MA"|"C"|2000||20|"N"
