PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|SALE_AGENT|SALE_OFFICE|SALE_PRICE|SETTLED_DATE|NEIGHBORHOOD|COUNTY|STATE|LD_TYPE|LOT_SIZE|ACRE|ROAD_TYPE|LAND_DESC|ZONE_USAGE|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|ELECTRIC_FEATURE|SHORT_SALE_LENDER_APP_REQD
"LD"|72799254|"CN212952"|"AN4574"|"SLD"|2000000|"375"|"Sandwich"||107||"02653"|"N"|"Rare opportunity to purchase 28+ acres! This listing includes 2 parcels: 375 Sandwich Road Assessors Map 27 06 011 000 and 0 Sandwich Road Assessors Map 27 06 031 000. Residence at 375 Sandwich Road would most likely be removed for development. The preliminary plan is certified by a registered surveyor at a total of 28.8 acres."|2|3/17/2021 7:31:00 AM|0|"N"|"CN212952"|"AN4574"|1850000|10/16/2024||"Barnstable"|"MA"|"A"|1254528|28.8||"B,D,I"|"A,E"|"N"|||||"A,B"|"N"
"LD"|72812588|"TM334645"|"AN7318"|"SLD"|179900|"22"|"Nicholson Hill Rd"||863||"01077"|"N"|"Rare opportunity to build your dream home on this spectacular 18+ acre ESTATE LOT with serene county views. Located right by the CT state line!! convenient to Bradley Int. Airport & Hartford Ct /Springfield, MA. This lot has so much to offer. Peaceful ~ private setting .Pec test on record just expired. Build your amazing new home today! There is also an additional 2.76 acre parcel that abuts this property located on College highway MLS # 72812590 that can also be purchased."|9|4/10/2021 10:58:00 PM|0|"N"|"CN250035"|"AN8754"|275000|5/7/2025||"Hampden"|"MA"|"A"|823209|18.9|"A"|"E,I"|"A"|"N"||"N"||"N"|"B"|"N"
"LD"|72812590|"TM334645"|"AN7318"|"SLD"|139900|"85"|"College Hwy"||863||"01077"|"N"|"LOCATION~ LOCATION! Beautiful 2 acre lot close to the CT line~across from Historical Society. The red barn on the property is in very poor condition & has collapsed ~The seller will not remove~PLEASE DO NOT ENTER THE BARN! Convenient to Bradley Int. Airport & Hartford Ct /Springfield, MA. Additional abutting 18+ acre parcel is also available for sale on 22 Nicholson Hill Rd."|6|3/8/2022 10:07:00 AM|0|"N"|"CN250035"|"AN8754"|150000|5/6/2025||"Hampden"|"MA"|"A"|87120|2|"A,C,E"|"D,Q,R"|"A"|"N"||"N"|||"C"|"N"
"LD"|72821460|"TM313822"|"AN6191"|"SLD"|1799000|"170"|"Orchard"||342||"01922"|"N"|"Excellent development opportunity in covetted Newbury.  This farm land is prime for development for the experienced builder/developer. Documents on hand are conceptuals of what could possibly be a single family home subdivision. Broker and seller make no representations of the accuracy or the approvability of the conceptual plans. Buyer to do due diligence, buyer responsible for all costs of engineering, permits, perc tests and approvals,  plans are not approved and are for marketing of the possible potential for how the property could be developed. Documents are of public record and are available in town offices or website."|9|4/27/2021 8:31:00 PM|0|"N"|"CT009538"|"AN6191"|800000|5/19/2025||"Essex"|"MA"|"A"|896029|20.57|"A"|"G,R"|"A,E"|"N"|||||"C"|"N"
"LD"|72825843|"K9502934"|"AN4212"|"SLD"|29900|"Lot 5"|"Brook Rd"||426||"01083"|"N"|"Very affordable lot that would be good for someone on a small budget.  Sight slope down to get to the private home location at the bottom.  If looking into the lot the best access is to the far right at the end of the guardrail.  This unusual lot that would give you some privacy, set down from the road and is level once you get down.  Partially wet but plenty of space for a beautiful home of your choice.  Priced according to its challenges, make sure you check it out don't rule it out solely on the word wet, it would make a nice location.Call for details."|5|8/29/2023 10:27:00 AM|0|"N"|"TM325017"|"AN6797"|25000|12/19/2024||"Worcester"|"MA"|"A"|199509|4.58|"A,C,E"|"D,G,H,I"|"A"|"N"||"N"|||"B"|"N"
"LD"|72845693|"CT001694"|"H24001"|"SLD"|85000|"0"|"Teel Road"||466||"01475"|"N"|"8+acres to build your dream home!  See picture of sample home from local builder!  Less than 1/2 mile from Rt. 140 makes this private location super convenient too!  Winchendon is a burgeoning rural town abounding in recreational and natural amenities.  The North Central Pathway is a paved recreational trail that is an area favorite with woods and waterways and convenient parking areas.  Lake Dennison boasts trails and vistas for 2 & 4 footed enjoyment, camping area and public lake.  The downtown is being revamped in the near future and a micro brewery has plans to relocate here.  The community park is exploring the construction of an amphitheatre and the annual Fall Festival draws thousands.  Within 30 minutes there are colleges & hospitals, mountains to ski and climb.  See why many from the cities are happy to call Winchendon home and the natives are glad they never left. Call today and find your piece of the American Dream at Lot 140!!"|15|6/6/2023 1:13:00 PM|0|"N"|"NB112793"|"NB3540"|60000|8/13/2024||"Worcester"|"MA"|"A"|367472|8.44|"A,E"|"I"|"A,E,K"|"N"|||||"B"|"N"
"LD"|72910557|"CN240750"|"AN7141"|"SLD"|249000|"0"|"Seagull Road"||104|"WCH"|"02633"|"U"|"Welcome to your new private beach on 113 ft. of beach frontage in Chatham. Come and enjoy this beach for years to come. The memories that you make here will last you a lifetime. This undevelopable piece of land has a path down to your future private beach, overlooking Chatham Harbor. Enjoy the sunrises, and revel in the joy of owning your own private beach on Cape Cod. There is no overnight camping or campers allowed on the property. Option for other uses with special permitting. See attached Bylaw uses on page 27. Please verify for your own info with Chatham Conservation Commission. Property is accessible from a right of way at the end of Little Beach Road."|17|10/20/2021 10:47:00 AM|0|"N"|"H1111111"|"H11111"|185000|10/8/2024||"Barnstable"|"MA"|"D"|51836|1.19|"B"|"C,G,V,X"|"M"|"Y"|"A,G,I,T,W"|"Y"|"F,H,I,J,L"||"E"|"U"
"LD"|72919736|"FR800269"|"FR0140"|"SLD"|465000|"59-65"|"Potter St"||157|"08R"|"02748"|"N"|"DEVELOPERS, CONTRACTORS needed!!!  Great opportunity to develop this DARTMOUTH 8+ acre parcel into a residential subdivision!  Built-up area, convenient to all amenities and easy highway access.  It consists of 2 separate lots (numbered #59 and #65 Potter St), mostly cleared and level.  Town water and sewer are available at street, as well as natural gas.  Buyers/buyer agents to perform due diligence as to project feasibility and all town approvals."|6|9/1/2022 11:33:00 AM|0|"N"|"CN212394"|"AN7380"|415000|8/9/2024||"Bristol"|"MA"|"A"|361548|8.3|"A,C,E"|"D,K,Q"|"A"|"N"||"N"|||"B"|"N"
"LD"|72920375|"TM320705"|"AN8685"|"SLD"|850000|"0"|"Main Street"||442||"01568"|"N"|"Attention builders!  Here is a perfect opportunity for your next project.  The majority of the land is flat and easy to walk.  A small portion of the land located to the right side of the lot, has a small slope which would be perfect for walk out basements.  Gas, water, and sewer are located at the street."|15|11/16/2021 10:21:00 AM|0|"N"|"TM351469"|"AN5720"|850000|12/31/2024||"Worcester"|"MA"|"A"|293882|6.75|"A"|"D,I"|"A,B"|"N"||"N"|||"B"|"N"
"LD"|72921509|"H8382875"|"BB3298"|"SLD"|650000|"115"|"Quarry Road"||58||"01720"|"N"|"4 possible building sites! See attached conceptual plot plan. The existing PCRC (Planned Conservation Residential Community) was approved in 1993 with 3 building sites. There is enough land as part of this PCRC to reapply for a total of 6 building sites. TWO houses are built and are NOT part of this offering. Thus, pending new town approvals, 3 or 4 new building sites are projected. The Planning Board seemed receptive to the change. All approval and development costs will be at buyers risk and expense. It appears that electric ends at the Miracle Field on Quarry Road.  The 2 existing houses are off grid. The septic system for one of the existing houses may need to be relocated at buyers expense. Stamski and McNary has done all past engineering."|9|11/18/2021 2:31:00 PM|0|"N"|"H8382875"|"BB3298"|600000|5/22/2025||"Middlesex"|"MA"|"A"|556285|12.77|"B,D,F"|"B,I"|"A,F"|"N"||"N"||"N"|"C"|"N"
"LD"|72928043|"CN227033"|"NB1286"|"SLD"|1295000|"45"|"Pitch Pine Ln"||107||"02536"|"U"|""|2|12/15/2021 2:10:00 PM|0|"N"|"CN227033"|"NB1286"|1300000|11/1/2024||"Barnstable"|"MA"|"A"|570562|13.1||"D"|"A"|"N"|||||"B"|"U"
"LD"|72934094|"FR800050"|"AN4790"|"SLD"|59000|"NS"|"Beetle St."||156||"02746"|"N"|"Commercial property with potential for many possible uses, fenced in lot."|6|1/14/2022 5:38:00 PM|0|"N"|"FR800050"|"AN4790"|42500|4/3/2025||"Bristol"|"MA"|"C"|4299|0.1|"A"|"D"|"K"|"N"||"N"|||"B"|"N"
"LD"|72948910|"BB921806"|"AN5913"|"SLD"|90000|"803"|"Burts Pit Rd"||530|"FLO"|"01062"|"N"|"Be part of a vibrant and unique new community! Buildable 10,119 square foot lot (Lot #3) with city water and sewer in great Florence location! Burts Meadow is a new residential community being developed by Emerson Way LLC. Bring your vision to this piece of land, which is perfect for a smaller dwelling or a more typical size home. Pioneer Valley Habitat for Humanity has constructed three single-family homes on Lots 5, 7, and 9. Emerson Way LLC has constructed six affordable condominium units on Lots 4, 6 and 8. The balance of the lots are expected to be market-rate housing though no assurances are made by Emerson Way LLC on Lots 1, 2, 5, 7, 9, and 10 which are owned by third parties."|4|10/9/2023 2:18:00 PM|0|"N"|"E9500016"|"AN5913"|96000|8/1/2024||"Hampshire"|"MA"|"A"|10119|0.23|"A"|"D"|"A"|"N"|||||"A"|"N"
"LD"|72965739|"M8000448"|"AN0310"|"SLD"|900000|"107"|"East Main Street"||424||"01585"|"N"|"Honey Bee Orchards, located in the quaint New England town of W. Brookfield Mass. is being offered for Sale. A 212 acre Apple Orchard with 8 varieties of apples and a long list of fruits and vegetables, such as peaches, pears, blueberries, pumpkins, corn, peppers, tomatoes etc. A commercial Farm/retail store sits directly on Rt. 9  selling fruits, vegetables, in house baked goods, deli and unique New England sundries. Across the street, the orchards continue along with a residence that houses the employees that help cultivate the land.  Structures include 7500 square foot retail/storage. 2 80'X80' coolers, an equipment storage bldg approx. 2000 sq.ft and 2 storage haulers, one for chemical storage and one for vegetable storage. Most of this land is in AGRICULTURE PRESERVATION RESTRICTION Refer to zoning and APR guidelines as to usage."|34|1/1/2024 10:50:00 AM|0|"N"|"M8000448"|"AN0310"|812500|8/29/2024||"Worcester"|"MA"|"B"|9234720|212|"A,E"|"D,E,R,U,V"|"A,E,K"|"N"||||"N"|"A"|"N"
"LD"|72986826|"H8321558"|"H17100"|"SLD"|375000|"0"|"Spring St Ext & Victoria Av"||472||"01331"|"U"|"AFTER 22 YEARS OF APPLYING TO THE TOWN OF ATHOL TO GET A ZONING CHANGE FROM RES.C TO RES.B, THE OWNER HAS GIVEN UP. All land around this parcel (to the north, south, east and west)  is designated Residential B for zoning.   Current zoning allows for the construction of single-family homes on one-acre lots or mixed use housing.  The land is still an Ideal location for development of multi-family housing.  This land is part of larger parcel which was subdivided and sold to  the Town of Athol for elementary and middle schools.  No zoning issues there.  Access to this land is from the end of Spring Street extension, as well as from the cart path at 834 Pleasant Street.  Town water and sewer are available from either street.   Owner has a proposed subdivision plan drawn up by Berry Engineering.  Plans upon request and the owner is willing to meet with any potential buyer. Owner is related to agent."|3|5/24/2022 1:30:00 PM|0|"N"|"H8000557"|"H95126"|375000|3/24/2025||"Worcester"|"MA"|"A"|466092|10.7|"A,C"|"D,I,M"|"B"|"Y"|"C,L"|||"N"|"B"|"U"
"LD"|73003135|"BB910520"|"AN6448"|"SLD"|400000|"201"|"Wampum"||69||"02762"|"N"|"Great opportunity to build your dream home on this wonderful private lot. Beautiful 7.57 acre lot with lots of woods for privacy. The lot is located in both Plainville and Wrentham with a Plainville address. The back part of the land borders Wrentham State Forest. The lot features old stone walls, great fall foliage, area to walk and conservation land. Septic has been provisionally approved by the Town of Plainville. All this and close to the highway and shopping."|6|6/23/2022 2:27:00 PM|0|"N"|"CN239449"|"BB5261"|390000|10/28/2024||"Norfolk"|"MA"|"A"|329749|7.57|"A"|"E,I,N,U"|"A"|"N"|||||"B"|"N"
"LD"|73013179|"CN219602"|"AC1693"|"SLD"|35000|"Lot 3B"|"Crouch Road"||426||"01083"|"N"|"Come build your dream home on this 3.05 acre lot.  This country lot is located in a desirable area. Perc and septic plan to be included."|1|7/16/2022 8:57:00 AM|0|"N"|"CN216024"|"AN6245"|36750|10/16/2024||"Worcester"|"MA"|"A"|132929|3.05|"A,C,E"|"G,H,I,K"|"A"|"N"||"N"|||"B"|"N"
"LD"|73017193|"TM332525"|"AN5088"|"SLD"|2000000|"601"|"Tremont St"||209||"02332"|"N"|"Approximately 6.5 acres available for purchase. Land available for purchase is a portion of the overall lot depicted in the images. Seller is entertaining offers between $2 million and $5 million. Perc tests completed; survey in hand; and engineering and proposed subdivision in hand. Buyers responsible for approval process. Sale does NOT include the church.  Plenty of time for due diligence. No offers considered until 9/12/2022. Please direct all inquiries to List Agent."|1|8/1/2022 9:38:00 AM|0|"N"|"TM332525"|"AN5088"|1440000|12/31/2024||"Plymouth"|"MA"|"A"|283140|6.5||"I"|"A"|"N"|||||"F"|"N"
"LD"|73021997|"CT006842"|"AN5317"|"SLD"|2200000|"24"|"Chestnut St"||48||"01748"|"N"|"Unique opportunity to create a private compound of new homes on over 9+ scenic acres in highly desirable Hopkinton.  #24 Chestnut is an existing spilt level home on over one acre. Update this 2,000 SF, four bed, three bath home OR build new OR keep it as an investment property while you develop the stunning 8.31 abutting acres. Approval not required to create two very special  4+ acre ESTATE-QUALITY homesites tucked away from the main road with 300 SF of frontage.  See attached newly created lot lines.  For further development opportunity, you would need to seek approval from the town. Town sewer is available on Chestnut St. The land had excellent perc tests many years ago but records were not kept. So much potential here, this is STUNNING land in a PREMIERE part of Hopkinton. Appointment required, please do not walk the land without the listing agent. Buyers and buyer's agent to do their due diligence about usage/zoning/utilities, please verify all info."|7|8/5/2022 10:59:00 AM|0|"N"|"CT006842"|"AN5317"|1700000|11/15/2024||"Middlesex"|"MA"|"A"|412513|9.47||"B,I,U"|"A"|"N"||"N"||"N"|"A"|"N"
"LD"|73028751|"E0000CTC"|"E21301"|"SLD"|139500|"116"|"East St"||861||"01073"|"N"|"Beautiful, elevated building site with perc test and survey in place. This attractive, rolling parcel is cleared, easily accessible, has town water stub connection in place and paved common drive in place! The lot is approximately 300 feet deep, allowing a comfortable setback, slightly elevated from the road. Great, rural location with easy access to all amenities. Perc test and survey are attached to the listing, with this lot labeled as ""LOT 1"" on the survey."|17|8/24/2022 11:23:00 AM|0|"N"|"cn254444"|"an0808"|130000|5/27/2025||"Hampshire"|"MA"|"A"|45898|1.05|"A,C,E"|"E,F,Q"|"A,D"|"N"||"N"||"N"|"B"|"N"
"LD"|73030764|"G0000913"|"AN4913"|"SLD"|224900|"56"|"Old E Brookfield Rd"||423||"01535"|"N"|"56.42 Acres of Land Available with 4 possible frontage lots on Old E Brookfield Rd.  The land that runs along Old E Brookfield Rd is zoned R-30 (Frontage lots) and the remaining land is R-66 zoning."|8|8/30/2022 6:28:00 PM|0|"N"|"G0000913"|"AN4913"|185000|6/5/2025||"Worcester"|"MA"|"A"|2457655|56.42|"A,C"|"B,G,H,I"|"A"|"N"||"N"|||"B"|"N"
"LD"|73036254|"CN240081"|"E31301"|"SLD"|58000|"0"|"Parish Road"||533||"01098"|"N"|"This could be the perfect location to build a hunter's cabin, or private getaway. Nestled between conservation land and more open space this property offers you a real chance to enjoy the outdoors. Imagine yourself walking or hunting close to your cabin, or just nestled in the woods and enjoying the sound of nature. Think, solar powered home, or an off grid life style. 8.5 Acres  This beautiful lot, is wooded with road frontage, marked 404 - 5 located on Parrish Road in Worthington. Any building must comply with codes."|13|11/6/2024 2:36:00 PM|0|"N"|"CN240081"|"E31301"|49000|5/5/2025||"Hampshire"|"MA"|"F"|370260|8.5|"D"|"I"|"D"|"N"||"N"||"N"|"E"|"N"
"LD"|73043019|"CN233513"|"AN1364"|"SLD"|129500|"0"|"Center St"||856||"01056"|"N"|"1.34 acre lot with magnificent view of the Springfield / Ludlow Reservoir providing an excellent opportunity for building your dream home with a breathtaking view! 125 feet of frontage with over 500 feet of depth. Recent ANR filed with town, perc tested, have special permit / variance. Partially cleared at rear of property. Easy to show, come take a look!"|7|9/30/2022 9:06:00 AM|0|"N"|"cn233513"|"AN1364"|122000|2/7/2025||"Hampden"|"MA"|"A"|58165|1.34|"A"|"D,U"|"A"|"N"||"Y"|"Q"|"N"|"B"|"N"
"LD"|73048728|"BB802540"|"BB4519"|"SLD"|299000|"Lot 3"|"Foxboro Road"||38||"02093"|"N"|"1 ACRE BUILDING LOT, ONLY 2 Left. See Also MLS Listing 73243665.  Great commuter location. Town Water and GAS is available. Septic Design is complete but not submitted or approved. Fast start to new build. Lot sold 'As Is"" . ."|1|10/16/2022 1:19:00 PM|0|"N"|"Bb802540"|"Bb4519"|275000|12/18/2024||"Norfolk"|"MA"|"A"|43650|1|"A,E"|"H"|"A"|"N"||"N"|||"B"|"N"
"LD"|73054605|"CT008902"|"AN4906"|"SLD"|175000|"0"|"Alden Rd"||155||"02719"|"N"|"Commercial Land located in a well traveled area. This commercial lot is just under one acre. Easy access to all local highways. Buyer/Buyer's agent to conduct their own due diligence and research relying on the results of those findings Gas is 300 ft from lot.  Priced to sell at $175,000  Call listing agent to view land"|6|11/2/2022 4:18:00 PM|0|"N"|"CT008902"|"AN4906"|80000|6/11/2025||"Bristol"|"MA"|"C"|42197|0.97||"G,I"|"G"|"N"||"N"|||"B"|"N"
"LD"|73054697|"BB807871"|"AN7380"|"SLD"|459000|"Lot 3"|"Rafael Road"||157||"02748"|"N"|"Welcome to South Dartmouth's newest premier subdivision ""Bakerville Vineyards"".  This is an approved subdivision and the land is being cleared as we speak.  The road is being carved in within two weeks.  It is a little over one mile to Padanaram Village and will consist of seven lots that are all approximately 2 acres each in size.  Very close to Demarest lloyd State Park and Round Hill Beach.  The subdivision will be one road with a cul-de-sac with mature plantings.  Sewer, water and electrical will be at each lot.  Builder packages are also available from one of the area's top builders.  Please see attached subdivision map for lot # locations.  Only five lots remaining at this time."|2|11/2/2022 7:34:00 PM|0|"N"|"CN212394"|"AN7380"|420000|2/7/2025||"Bristol"|"MA"|"A"|80031|1.84|"A,C"|"D"|"A"|"N"||"N"||"N"|"B"|"N"
