PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|COUNTY|STATE|CI_TYPE|SPACE_AVAILABLE|RSU_UNITS|RSF_BLDG_SF|OFU_UNITS|OFF_BLDG_SF|REU_UNITS|REF_BLDG_SF|WAU_UNITS|WAF_BLDG_SF|MAU_UNITS|MAF_BLDG_SF|NO_STORIES|TOTAL_UNITS|TOTAL_BLDG_SF|LOT_SIZE|ACRE|PARKING_SPACES|PARKING_FEATURE|SHORT_SALE_LENDER_APP_REQD
"CI"|72746948|"CT006752"|"AN4422"|"ACT"|3800|"95"|"Mill St"||192||"02072"|"N"|"Available for immediate occupancy, approximately 4,500 sf of space in a free standing building with 7+private offices, restrooms and 2 large areas of open space which can be utilized as a lab, machine assembly or additional office space. Available space up to 6,500 sf, if interested; details to follow... This is truly a unique space and needs to be seen to be appreciated. Schedule your private showing today!"|15|9/3/2024 1:29:00 PM|0|"N"||"Norfolk"|"MA"|"A"|"B"|0|0|7|700|0|0|2|3800|0|0|1|7|4500|69696|1.6|50|"K,N,S,U"|"N"
"CI"|72746949|"CT006752"|"AN4422"|"ACT"|2198|"95"|"Mill St"||192||"02072"|"N"|"Available for immediate occupancy, approximately 2,000 sf of space in a free standing building with 3 private offices, open floor space, conference room and restrooms . Available space up to 6,500 sf, if interested; details to follow... This is truly a unique space and needs to be seen to be appreciated. Schedule your private showing today!"|15|9/3/2024 1:31:00 PM|0|"N"||"Norfolk"|"MA"|"A"|"B"|0|0|3|2000|0|0|0|0|0|0|2|5|2000|69696|1.6|50|"K,N,S,U"|"N"
"CI"|72765066|"BB901119"|"BB4624"|"ACT"|5|"2"|"Park Ave"||192||"02072"|"N"|"Highest and best use would be for education nonprofit. Location is zoned residential RU. Older building but lots of space and very clean. Call for appointment.  Listing agent must accompany."|10|12/8/2020 12:29:00 PM|0|"N"||"Norfolk"|"MA"|"A"|"B"|0|0|16|9807|0|0|0|0|0|0|2|16|9807|14932|0.34|15|"J"|"N"
"CI"|72780152|"E8000133"|"AN5912"|"ACT"|50000|"001"|"Adams Road"||511||"01301"|"N"|"Triangle of land between the original location of Adams Rd entrance off Route 2 and the current road location. Zoned ""Planned Industrial District"" on the southern edge of the I-91 Industrial Park. Level, wooded, stream, 1.57 acres."|1|1/28/2021 8:56:00 PM|0|"N"||"Franklin"|"MA"|"D"|"A"|0|0|0|0|0|0|0|0|0|0|0|||68389|1.57|6||"N"
"CI"|72788635|"CN242406"|"AN6538"|"ACT"|4250000|"910"|"Cold Spring Rd"||551||"01267"|"N"|""|18|2/22/2021 5:37:00 PM|0|"N"||"Berkshire"|"MA"|"A"|"A"|40|40000|0|0|1|3500|0|0|0|0|2|||740520|17|125||"N"
"CI"|72806647|"CT000554"|"AN4306"|"ACT"|31.5|"150"|"California Street"||39||"02458"|"N"|"5,179, 5,239 & 9,000 - 20,000 SF Available. Office/Flex/R&D Space"|1|3/31/2021 2:51:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|4|40000|0|0|1|20000|0|0|3|4|40000|231303|5.31|700||"N"
"CI"|72811765|"M9502269"|"M95284"|"ACT"|3200|"418"|"Dwight Street"||858||"01040"|"N"|"Available now: 3,200 s.f. commercial/light industrial space at The Wauregan, in the heart of Holyoke Canal District.  Recently removed 2/3 of posts. This ground floor space features two entrances, a fully finished separate office, 11' ceilings, two  bathrooms, and direct access to parking.  This space is fully ADA compliant APO.    Tenant pays own water & utilities.  Owner-occupied and managed, The Wauregan enjoys an excellent location in direct proximity to City Hall, Open Square, Gateway City Arts, Paper City Studios, The Cubit, and the newly reopened Amtrack Train Station.  If you're looking for a greener, lower-cost energy footprint, Holyoke's energy mix, unique in New England, is over 90% carbon-free, with almost 70% of its current power coming from hydro and solar.  We're ideally seeking a business that compliments The Wauregan's focus on art, design, and fabrication.  Current tenants include Clean Crop Tech, Brick CoWorkshop, CoFab, The Plan, Fame,and Blue Door Gatherings."|5|4/20/2021 10:39:00 AM|0|"N"||"Hampden"|"MA"|"A"|"B"|0|0|1|200|0|0|0|0|1|3000|3||3200|66646|1.53|41|"N,S"|"N"
"CI"|72821312|"CT000554"|"AN4306"|"ACT"|30|"81"|"Hartwell Avenue"||63||"02421"|"N"|"Second Floor Office Space - 7,000 SF & Third Floor Office Space- 19,595 SF"|3|8/24/2021 2:47:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|2|6500|0|0|0|0|0|0|3|2|26595|361548|8.3|260||"N"
"CI"|72821315|"CT000554"|"AN4306"|"ACT"|26|"110"|"Hartwell Avenue"||63||"02421"|"N"|"Second Floor 6,702 SF and Third Floor 5,415 SF Available"|4|8/24/2021 2:43:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|2|12117|0|0|0|0|0|0|3|2|12117|322344|7.4|202||"N"
"CI"|72827741|"CN226304"|"AN4340"|"ACT"|900|"114"|"Pleasant"|"B18"|428||"01550"|"N"|"Fully equipped Optics Lab/Black Room in refurbished schoolhouse.  Ideal for tech and medical device startups. Free off-street parking. Common areas include conference rooms, kitchen, café, restrooms, shower, and machine shop/maker space with 3D printer. Internet and WIFI included and use of network copier/printers.   Intended use of building is for biomedical, medical device, and tech startups."|12|10/18/2021 9:18:00 PM|0|"N"||"Worcester"|"MA"|"A"|"B"|0|0|0|0|0|0|0|0|1|325|2|||50965|1.17|10|"A"|"N"
"CI"|72831804|"CN233064"|"AN2893"|"ACT"|22|"22"|"Cranberry Highway"||152|"28O"|"02770"|"N"|"4 commercial pad sites for lease located on site in front of 208 luxury apartements (coming soon).  3 sites fronting on route 28, 1 site with the potential for a drive-thru fronting on Route 58.   Pad sites available for retail, commercial, restaurant, office, etc on site.  Parking adjacent to each retail/office location.  Will build to suit or ground lease. Price is $22/sq. ft. Triple Net. Close to Middleborough commuter train station and easy on off of 495.  Located at the intersection of Routes 495 and 195.  Nearby courthouse, cinemas, restaurants.  5 minutes to Wareham crossing.  25 minutes to Plymouth.  Last exit before cape cod connector.  ALL COMMERCIAL/BUSINESS HAVE SIGNAGE AVAILABLE ON 495!  Signage also available at site on either Rte 28 or Rte 58."|2|5/26/2021 5:41:00 PM|0|"N"||"Plymouth"|"MA"|"A"|"B"|0|0|4|3600|4|3600|0|0|0|0|2|||52000|1.19|154|"N,S"|"N"
"CI"|72897425|"CT000554"|"AN4306"|"ACT"|37|"300"|"Washington Street"||39||"02458"|"N"|"Suites Ranging From 850 to 13,600 SF"|8|11/4/2021 4:29:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|1|13000|0|0|0|0|0|0|9|1|13000|213879|4.91|370||"N"
"CI"|72897426|"CT000554"|"AN4306"|"ACT"|37|"300"|"Washington Street"||39||"02458"|"N"|"Suites Ranging From 775 to 13,600 SF"|8|11/4/2021 4:22:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|5|3500|0|0|0|0|0|0|9|||213879|4.91|370||"N"
"CI"|72907532|"CN226353"|"C95118"|"ACT"|14|"30"|"Main St"||322||"01983"|"N"|"Former bank branch with drive-thru located in town's Central Business District, about 1 mile from the Topsfield Fairgrounds. The first floor contains reception/waiting area, teller stations, partitioned offices, and a private office. The second floor features a conference room, storage, kitchenette, IT room, restrooms, and private offices. The parcel is situated in front of Topsfield Village Shopping Center (same ownership). Parking is allowed in the plaza's lot. There is plentiful street parking as well. Suitable for a bank, credit union, restaurant, and various other retail and service operations. Est. NNN charges are in the range of $4.00-$5.00 per sq. ft."|10|10/13/2021 9:17:00 AM|0|"N"||"Essex"|"MA"|"A"|"B"|0|0|0|0|1|3900|0|0|0|0|2|1|3900|156380|3.59|12|"G,J,S"|"N"
"CI"|72941138|"NB111269"|"AC2409"|"ACT"|699000|"626"|"W Swanzey Rd"||1206||"03446"|"N"|"Unbelievable opportunity for someone who wants a turnkey business that's ready to go or wants a commercial space to make their own. This property has endless possibilities, convenience store, gas station, or retail space to name a few. Nicks Restaurant is located on a Main Highway from Keene NH, is currently a fully equipped restaurant having a successful history for decades. The property under consideration is located on the east side of route 10 West Swanzey, NH. The neighborhood is primarily commercial along route 10. Purchase comes with 1.77+/- acres. Swanzey, NH was recently approved for KENO, which would also be an amenity to the location.  The subject is located 3.5 miles south of the Keene city line and two miles north of Winchester. LEASE option available. Additional Commercial Land for sale, 5.25 +/- acres next to Building/Land."|9|2/9/2022 12:27:00 PM|0|"N"||"Cheshire"|"NH"|"A"|"A"|0|0|0|0|0|0|0|0|0|0|1|||77101|1.77|77|"S"|"N"
"CI"|72941533|"E0000DAM"|"E21001"|"ACT"|249900|"48"|"Main Street"||532||"01026"|"N"|"Located on the banks of the Westfield River, this income property offers six one-bedroom apartments with separate heat and electric.  Recent improvements include a new roof, windows, fire alarm, water heater, electrical updates, septic system and egress stairway.  Appliances are included and off-street parking is available for all of the units. Part of the driveway is shared with the neighbor by a right-of -way."|6|4/18/2022 9:48:00 AM|0|"N"||"Hampshire"|"MA"|"C"|"A"|6|3938|0|0|0|0|0|0|0|0|2|6|3938|20473|0.47|12|"F,M"|"N"
"CI"|72952260|"CN247036"|"AN4422"|"ACT"|725|"21"|"Mayor Thomas J McGrath Hwy"|"306"|195||"02169"|"N"|"Commercial office space available now! Spacious private office of approximately 125 sq. ft. in a highly desirable part of Quincy. Includes shared conference room ideal for group meetings and waiting area. All utilities included +WiFi! Close to restaurants, shopping, and easy access to the highway for commuting. Free on-site garage parking. One of two offices for lease in the same suite, see MLS 72952261."|4|9/3/2024 1:30:00 PM|0|"N"||"Norfolk"|"MA"|"E"|"B"|0|0|1|125|0|0|0|0|0|0|5|1|125|21344|0.49|1|"E,S"|"N"
"CI"|72952261|"CN247036"|"AN4422"|"ACT"|725|"21"|"Mayor Thomas J McGrath Hwy"|"306"|195||"02169"|"N"|"Commercial office space available now! Spacious private office of approximately 125 sq. ft. in a highly desirable part of Quincy. Includes shared conference room ideal for group meetings and waiting area. All utilities included +WiFi! Close to restaurants, shopping, and easy access to the highway for commuting. Free on-site garage parking. One of two offices for lease in the same suite, see MLS#72952260."|4|9/3/2024 1:26:00 PM|0|"N"||"Norfolk"|"MA"|"E"|"B"|0|0|1|125|0|0|0|0|0|0|5|1|125|21344|0.49|1|"E,S"|"N"
"CI"|72958821|"A8001863"|"A48101"|"ACT"|25|"91"|"Washington Street"|"202"|173||"02780"|"N"|"Medical Office Space Available for Lease at the Liberty Medical Building, 91 Washington Street Taunton, is located at St Mary's Square across from Morton Hospital."|2|3/29/2022 12:20:00 PM|0|"N"||"Bristol"|"MA"|"E"|"B"|0|0|2|3929|0|0|0|0|0|0|3|2|3929|25700|0.59|54|"K,S"|"N"
"CI"|72958827|"A8001863"|"A48101"|"ACT"|25|"91"|"Washington Street"|"302"|173||"02780"|"N"|"Medical Office Space Available for Lease at the Liberty Medical Building, 91 Washington Street Taunton, is located at St Mary's Square across from Morton Hospital."|2|3/29/2022 12:24:00 PM|0|"N"||"Bristol"|"MA"|"E"|"B"|0|0|2|3929|0|0|0|0|0|0|3|2|3929|25700|0.59|54|"K,S"|"N"
"CI"|72968348|"CN226304"|"AN4340"|"ACT"|900|"114"|"Pleasant"|"B20"|428||"01550"|"N"|"Lab in refurbished schoolhouse! Ideal for Biotech and Medical Device Startups. BL2 Conversion is a possibility. Labs may be combined.  Free off-street parking. Common areas include conference rooms, kitchen and café with fridge, high end coffee makers, microwave, etc, restrooms, shower, and machine shop/maker space with 3D printer. Internet and WIFI included and use of network copier/printers.  Space is being emptied and floors refinished!  This space is not equipped.  However, the landlord has equipment to lend out and would be included in the lease."|10|4/19/2022 4:04:00 PM|0|"N"||"Worcester"|"MA"|"A"|"B"|0|0|0|0|0|0|0|0|1|350|2|||50965|1.17|10|"A,N,S"|"N"
"CI"|72974594|"CT008467"|"AN7279"|"ACT"|600|"280"|"N Main St"|"2-A"|853||"01028"|"N"|"EAST LONGMEADOW & LONGMEADOW OFFICE SPACE 200sf For Lease (At the Renew Health office building.) On bus route. Handicap bathrooms & entrances. Free parking!! Rent includes ALL Taxes, Maintenance & Utilities. Private Office Suite 2 with window AND private entrance + Kitchen/Break Room. Also, OTHER options including larger AND smaller spaces to suit YOUR needs. 13 Private Offices w/ Windows in your office = 1st floor = Approx. 3,500sf w/ Common Waiting Room, Handicap Bathrooms, Reception area, Kitchen = $5,800/month All-inclusive. We are “on site” manager/owners which means immediate response for you. Flexible Lease terms. Get your home office OUT of YOUR Home. Come make The Reminder Office Building YOUR Office away from Home. Flexible offices - Large and Small. Immediate Occupancy available. Perfect for counseling center, rehab, medical, sales, holistic health, massage, psychiatric, LMFT, Veterinary Hospital, and all general office uses. Office for Rent 01028. Office for Lease 01028"|17|5/1/2022 10:24:00 PM|0|"N"||"Hampden"|"MA"|"G"|"B"|0|0|1|200|0|0|0|0|0|0|1|1|200|54375|1.25|72|"F,K,N,S"|"N"
"CI"|72981430|"E0000DAM"|"E21001"|"ACT"|20|"21"|"Locust"|"1A"|530||"01060"|"N"|"Turnkey branch bank location across from Cooley Dickinson Hospital in Northampton. Over 3000 square feet of space included a lobby area with teller line, four private offices. drive-up window, ATM and break room.  Excellent location between Downtown Northampton and Florence Center on route nine."|8|5/13/2022 9:54:00 AM|0|"N"||"Hampshire"|"MA"|"A"|"B"|0|0|1|3074|0|0|0|0|0|0|1|1||10724|0.25|10|"A,N"|"N"
"CI"|72988620|"CT008467"|"AN7279"|"ACT"|575|"280"|"N Main St"|"10-C"|853||"01028"|"N"|"EAST LONGMEADOW & LONGMEADOW OFFICE SPACE On bus route. Handicap bathrooms & entrances. Free parking!! Rent includes ALL Taxes, Maintenance & Utilities. Private Office Suite 10-C with private entrance + Free Parking. Includes 2 Large Private offices + Adjoining Waiting Room/Conference Area = $575/month/office All-inclusive. Private Offices in Suites 5, 6, & 10-B with private entrance + Free Parking. Includes 1 Large Private office + Adjoining Shared Waiting Room/Reception Area & Kitchen = $600/month All-inclusive. OTHER options including larger AND smaller spaces to suit YOUR needs. We are “on site” manager/owners which means immediate response for you. Flexible Lease terms. Get your home office OUT of YOUR Home. Immediate Occupancy available. Perfect for counseling center, rehab, medical, sales, holistic health,etc"|17|5/29/2022 9:10:00 AM|0|"N"||"Hampden"|"MA"|"G"|"B"|0|0|1|400|0|0|0|0|0|0|1|1|400|54375|1.25|72|"F,K,N,S"|"N"
"CI"|73001541|"E0000CTC"|"E21301"|"ACT"|699500|"74"|"College Hwy"||861||"01073"|"N"|"Commercial building with close to 20,000 square feet of gross building area, a 60+ paved parking lot, and an additional gravel parking lot. The site contains approximately 4.31 acres of land. The building is currently used as a bowling alley (Canal Bowling Lanes), and a lounge (Tin Can Alley) with a full liquor license. The building had previously housed a third business, Canal Trophy. It has been utilized as a bowling alley and other support businesses since it was constructed in 1962. The lounge section is approx. 2,200 square ft., the former trophy business is approx. 1,200 square ft. with the remaining space primarily used by the lanes & equipment area in the back. There is a total of 4 bathrooms, 2 heating systems, and 3 mini-splits. Located on heavily traveled Route 10 with great visibility and accessibility. New septic system to be installed in 2025 which will accommodate expanded use!"|42|6/22/2022 8:25:00 AM|0|"N"||"Hampshire"|"MA"|"A"|"A"|0|0|1|0|3|19744|0|0|0|0|1|||187744|4.31|60|"K,N,S"|"N"
"CI"|73001709|"BB922079"|"BB5236"|"ACT"|974000|"343-357"|"Acushnet Ave"||156|"NCE"|"02740"|"N"|"Great Mixed-Use development opportunity. Bordering, BUT NOT IN, the National Park. Located within the Opportunity Zone. This property overlooks Custom House Square Park and Wing's Court. In the heart of New Bedford's Historic Downtown. Included in sale: 4 Story Brick Structure-currently assessed as 4 condo units & 2 Story Frame structure only. Both parcels are in need of re-development. Great opportunity for experienced developers! Extremely desirable location-Join the Downtown Renaissance."|4|9/27/2022 11:40:00 AM|0|"N"||"Bristol"|"MA"|"G"|"A"|0|0|0|0|0|0|0|0|0|0|4|2|12054|4406|0.1|0||"N"
"CI"|73004439|"CT004352"|"AC1267"|"ACT"|16|"100-106"|"South St"||48||"01748"|"N"|""|1|6/27/2022 11:17:00 AM|0|"N"||"Middlesex"|"MA"|"B"|"B"|0|0|0|0|0|0|0|0|1|6000|1|||160736|3.69|1000||"U"
"CI"|73005483|"CN221938"|"AN3526"|"ACT"|12.95|"800"|"West Cummings Park"|"3550"|301||"01801"|"N"|"$12.95 ($23.00/sf/yr.+ Market Value). 2 suites (1,858 sf and 1,315 sf that may be leased individually or combined for 3,173 sf. Office use for Executive, sales, training, medical, therapy, wellness. Move-in ready, furniture & fixtures may be available; One suite includes private bathroom, and the other has access to plumbing for a sink. Tenant Subsidized Rent. Sublease through August 30, 2025; Lease Extension available direct with Owner."|6|4/4/2023 8:36:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|2|3173|0|0|0|0|0|0|6|2|3173|206910|4.75|225|"F"|"N"
"CI"|73011333|"E0000DAM"|"E21001"|"ACT"|599000|"21"|"Locust Street"||530||"01060"|"N"|"Located across from the Cooley Dickinson Hospital on Locust Street this large strip style commercial building is divided into four street grades commercial spaces and two 2nd floor offices. Current tenants include the drop off location for a dry cleaner and a Tee-Shirt printer. The vacant spaces are a former beauty shop and a branch bank with drive-up.  Both 2nd floor offices are also vacant.  The building has 208 3 phase power and several heating systems. In addition to the Locust Street frontage the property is also accessible from the rear off North Elm Street."|17|7/13/2022 10:46:00 AM|0|"N"||"Hampshire"|"MA"|"A"|"A"|0|0|0|0|1|11700|0|0|0|0|2|||22664|0.52|16|"J,N,U"|"N"
"CI"|73022977|"BB954349"|"AC2395"|"ACT"|1200|"425A"|"Broadway"|"1"|14||"02149"|"N"|"This office opportunity is located on heavily populated Everett street. Many other nearby local business creates constant traffic on Broadway, Everett. $1200 monthly rent with heat included!!! Perfect for professionals and/or service-related Businesses.  You will not find a better location in Everett !!"|2|1/30/2023 1:41:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|1|650|0|0|0|0|0|0|2|||5985|0.14|0||"N"
"CI"|73022990|"BB954349"|"AC2395"|"ACT"|1100|"425A"|"Broadway"|"4"|14||"02149"|"N"|"This office opportunity is located on heavily populated Everett street. Many other nearby local business creates constant traffic on Broadway, Everett. $1200 monthly rent with heat included!!! Perfect for professionals and/or service-related Businesses. You will not find a better location in Everett !!"|3|5/12/2023 2:39:00 PM|0|"N"||"Middlesex"|"MA"|"A"|"B"|0|0|1|800|0|0|0|0|0|0|2|||0|0|0||"N"
"CI"|73026970|"CN210951"|"AN4571"|"ACT"|19.5|"40"|"Nagog Park"||58||"01720"|"U"|"This suite has a total of 2,859 RSF of flex/office space on the first floor with direct access to grade level double door loading. Several private offices, but mostly open space with great window line. Wet lab is a also a possibility for this space. There is an adjacent space available as well to provide the potential for approx. 6,000 rsf of flex/office/lab space."|12|6/2/2023 7:40:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|1|2859|0|0|0|0|0|0|3|6|18000|6.23|0|60||"U"
"CI"|73047151|"A9500304"|"AN9122"|"ACT"|700|"104"|"Charles Eldridge Rd."|"A"|153||"02347"|"N"|"Too many distractions working from home? Available for IMMEDIATE OCCUPANCY this conveniently located office building has Individual office spaces for rent from $500-700 per month including heat, AC, and electricity. Price includes a shared kitchen area and bathrooms. This building offers a large foyer with seating for clients while they wait.  Perfect for professionals or those who need a private quiet space away from home to work. Other spaces available please inquire."|5|10/12/2022 12:33:00 PM|0|"N"||"Plymouth"|"MA"|"E"|"B"|0|0|3|117|0|0|0|0|0|0|1|1|117|0.9|0|2|"K"|"N"
"CI"|73047766|"A8001863"|"A48101"|"ACT"|22|"71-101"|"Carver Road"||213||"02360"|"N"|"Retail Space Available for Lease Well Established West Plymouth Square Retail Space Available from 1,240sf up to 31,437sfAsking $22/sf/yr NNN"|1|10/13/2022 11:16:00 AM|0|"N"||"Plymouth"|"MA"|"A"|"B"|0|0|0|0|3|36677|0|0|0|0|1|3|36677|710028|16.3|100|"K,N,S,U"|"N"
